# Species	Genes	Alg.-Conn.	babesia_bigemina_protein.faa	babesia_bovis_T2Bo_protein.faa	babesia_microti_strain_RI_protein.faa	babesia_ovata_protein.faa	babesia_sp._Xinjiang_protein.faa	besnoitia_besnoiti_protein.faa	cryptosporidium_felis_protein.faa	cryptosporidium_hominis_TU502_protein.faa	cryptosporidium_muris_RN66_protein.faa	cryptosporidium_parvum_Iowa_II_protein.faa	cryptosporidium_ubiquitum_protein.faa	eimeria_acervulina_protein.faa	eimeria_brunetti_protein.faa	eimeria_maxima_protein.faa	eimeria_mitis_protein.faa	eimeria_necatrix_protein.faa	eimeria_praecox_protein.faa	eimeria_tenella_protein.faa	gregarina_niphandrodes_protein.faa	neospora_caninum_Liverpool_protein.faa	plasmodium_berghei_ANKA_protein.faa	plasmodium_chabaudi_protein.faa	plasmodium_coatneyi_protein.faa	plasmodium_cynomolgi_protein.faa	plasmodium_falciparum_protein.faa	plasmodium_fragile_protein.faa	plasmodium_gaboni_protein.faa	plasmodium_gallinaceum_protein.faa	plasmodium_inui_San_Antonio_1_protein.faa	plasmodium_knowlesi_protein.faa	plasmodium_malariae_protein.faa	plasmodium_reichenowi_protein.faa	plasmodium_relictum_protein.faa	plasmodium_sp._gorilla_clade_G2_protein.faa	plasmodium_vinckei_protein.faa	plasmodium_vivax_protein.faa	plasmodium_yoelii_protein.faa	porospora_cf._gigantea_A_protein.faa	porospora_cf._gigantea_B_protein.faa	theileria_annulata_protein.faa	theileria_equi_strain_WA_protein.faa	theileria_orientalis_strain_Shintoku_protein.faa	theileria_parva_strain_Muguga_protein.faa	toxoplasma_gondii_ME49_protein.faa	type	number_of_genoms	number_of_proteins	number_of_genus	function
38	38	0.00514	CDR97463.1	EDO08545.1	CCF75208.2	GBE58519.1	*	PFH33331.1	KAF7456260.1	EAL36272.1	EEA06520.1	EAK87396.1	OII72412.1	CDI78713.1	CDJ46932.1	CDJ58872.1	*	CDJ70222.1	*	CDJ40318.1	*	CBZ52871.1	VUC58302.1	CDR16628.1	ANQ09879.1	GAB68922.1	CAX64120.1	KJP85487.1	KYO00727.1	CRG97651.1	EUD68948.1	CAA9990868.1	SCP03372.1	KYN99223.1	CRH02511.1	SOV13595.1	VEV59018.1	EDL47458.1	VTZ81574.1	*	*	CAI76907.1	AFZ81744.1	BAM41651.1	EAN32263.1	EPT29509.1	full_gca_44	38	38	8	conserved Plasmodium protein, unknown function
33	33	0.00743	CDR98076.1	EDO05763.1	CCF72765.1	GBE62440.1	ORM42302.1	PFH33558.1	KAF7455938.1	EAL36109.1	EEA05481.1	EAK89321.1	OII72585.1	*	*	*	*	CDJ65461.1	*	CDJ44906.1	*	CBZ55517.1	VUC57741.1	CDR15724.1	*	GAB67861.1	CZU00420.1	*	KYN96306.1	CRG94921.1	EUD69196.1	CAA9989413.1	SCO93849.1	KYN94374.1	CRH01200.1	SOV19936.1	VEV58443.1	EDL45940.1	VTZ80780.1	*	*	*	EKX72680.1	BAM41090.1	EAN31306.2	EPT25599.1	full_gca_44	33	33	8	conserved Plasmodium membrane protein, unknown function
25	25	0.0273	CDR96377.1	EDO07716.1	CCF73504.1	*	*	*	*	*	EEA05862.1	*	*	CDI77682.1	*	*	CDJ28329.1	*	*	*	*	CBZ56161.1	VUC57054.1	CDR14630.1	*	*	CAB39063.1	KJP84896.1	KYO03342.1	CRG94229.1	*	CAA9987817.1	SCN12206.1	KYO02723.1	CRG99724.1	SOV11066.1	VEV57764.1	EDL44756.1	VTZ79988.1	*	*	CAI75916.1	EKX73232.1	BAM40913.1	KAF5153534.1	*	full_gca_44	25	25	6	translation machinery-associated protein 7, putative
33	33	0.0093	CDR95893.1	EDO05886.1	CTQ40839.1	GBE59772.1	*	*	KAF7457827.1	EAL36609.1	EEA06309.1	EAZ51511.1	OII73082.1	*	*	*	*	*	*	*	EZG65889.1	*	VUC55829.1	CDS47122.1	ANQ08483.1	GAB66467.1	CZT98854.1	KJP87633.1	KYN98832.1	CRG96240.1	EUD65450.1	CAA9988216.1	SCN12712.1	KYN96523.1	CRH00060.1	SOV15592.1	VEV56364.1	EDL45583.1	VTZ78498.1	KAH0479618.1	KAH0480956.1	*	EKX72119.1	BAM39123.1	KAF5153413.1	EPT27442.1	full_gca_44	33	33	7	conserved protein, unknown function
30	30	0.00535	CDR95373.1	EDO05244.1	SIO73901.1	*	ORM42332.1	PFH36480.1	*	*	*	*	*	CDI78795.1	*	*	*	CDJ65346.1	*	*	*	CBZ52035.1	VUC58542.1	CDR16971.1	ANQ10840.1	GAB69162.1	CZT99493.1	KJP88732.1	KYN98133.1	CRG96970.1	EUD66047.1	CAA9991124.1	SCP03616.1	KYN95441.1	CRH02760.1	SOV16980.1	VEV59256.1	EDL44144.1	VTZ81814.1	*	*	CAI74164.1	AFZ80731.1	BAM40562.1	EAN33102.1	EPT30481.1	full_gca_44	30	30	7	pentatricopeptide repeat domain-containing protein, putative
35	35	0.00581	CDR97798.1	EDO05728.1	SJK85788.1	GBE62162.1	*	PFH32211.1	KAF7459148.1	EAL37290.1	EEA05220.1	EAK89154.1	OII70795.1	CDI77009.1	*	CDJ59005.1	*	*	*	*	*	CBZ51009.1	VUC55516.1	CDR12904.1	ANQ07507.1	GAB65919.1	CAD52022.1	KJP86763.1	KYO00324.1	CRG96898.1	EUD64691.1	CAA9987625.1	SBT88002.1	KYN98645.1	CRG99562.1	SOV14520.1	VEV56170.1	EDL42316.1	VTZ77776.1	*	*	CAI73880.1	AFZ80465.1	BAM38676.1	EAN33400.1	EPT27840.1	full_gca_44	35	35	8	UBX domain-containing protein, putative
29	29	0.00796	CDR96933.1	*	CTQ41233.1	*	*	*	*	*	*	*	*	CDI77253.1	CDJ49709.1	CDJ56541.1	*	CDJ63347.1	*	CDJ39776.1	*	*	VUC56557.1	CDR13843.1	ANQ08594.1	GAB66927.1	CAD51504.1	KJP87133.1	KYO02334.1	CRG97918.1	EUD68262.1	CAA9988697.1	SCN44914.1	KYO01566.1	CRH00526.1	SOV11666.1	VEV57263.1	EDL44090.1	VTZ79424.1	*	*	CAI74647.1	AFZ79212.1	BAM40065.1	EAN32624.2	EPT31233.1	full_gca_44	29	29	5	hypothetical protein, conserved
23	23	0.0118	CDR95882.1	*	CCF73316.1	*	ORM39720.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC57839.1	CDR15861.1	ANQ10231.1	GAB67757.1	VWP77606.1	KJP86297.1	KYN97097.1	CRG95027.1	EUD67615.1	CAA9990020.1	SCO93747.1	KYN94744.1	CRH01771.1	SOV17875.1	VEV58542.1	EDL44364.1	VTZ80877.1	*	*	*	AFZ80317.1	BAM38793.1	EAN33526.2	*	full_gca_44	23	23	3	conserved Plasmodium protein, unknown function
31	31	0.0121	CDR94202.1	EDO06471.1	SIO73459.1	GBE60628.1	ORM41687.1	*	KAF7456275.1	EAL37343.1	EEA06597.1	EAK87670.1	OII71690.1	*	*	*	*	*	*	*	*	*	VUC58213.1	CDR16496.1	ANQ10211.1	GAB68834.1	CAX64298.1	KJP88205.1	KYN96970.1	CRG97559.1	EUD68855.1	CAA9990776.1	SCP03282.1	KYN94610.1	CRH02419.1	SOV17613.1	VEV58929.1	EDL47369.1	VTZ81485.1	*	*	CAI74155.1	AFZ80644.1	BAM40575.1	KAF5153698.1	*	full_gca_44	31	31	4	conserved Plasmodium protein, unknown function
38	38	0.0235	CDR94387.1	EDO07297.1	SJK86624.1	GBE60450.1	*	PFH34874.1	KAF7459151.1	EAL35836.1	EEA05223.1	EAK89151.1	OII70798.1	*	*	*	*	CDJ65672.1	*	CDJ42211.1	EZG65867.1	CBZ55551.1	VUC54008.1	CDR10797.1	ANQ05941.1	GAB64672.1	CAD51034.1	KJP89259.1	KYO01426.1	CRG93250.1	EUD65357.1	CAA9986405.1	SBT87193.1	KYO00595.1	CRH03151.1	SOV13242.1	VEV54693.1	EDL43901.1	VTZ71794.1	KAH0485386.1	KAH0487506.1	CAI73273.1	EKX73915.1	BAM39323.1	EAN34066.2	EPT25558.1	full_gca_44	38	38	10	60S ribosomal export protein NMD3, putative
36	36	0.0129	CDR97805.1	EDO05692.1	CCF73186.1	GBE62124.1	ORM40373.1	PFH33249.1	*	*	*	*	*	CDI83497.1	CDJ46212.1	CDJ61664.1	CDJ31657.1	CDJ66825.1	CDI86557.1	CDJ41884.1	*	CBZ53003.1	VUC54887.1	CDR11802.1	ANQ06138.1	GAB64864.1	CAD50984.1	KJP87849.1	KYO01376.1	CRG94438.1	EUD65269.1	CAA9986616.1	SBT86345.1	KYO00543.1	CRG98634.1	SOV13192.1	VEV55591.1	EDL43061.1	VTZ75554.1	*	*	CAI73916.1	AFZ80502.1	BAM38641.1	KAF5153342.1	EPT29357.1	full_gca_44	36	36	7	metallo-hydrolase/oxidoreductase, putative
26	26	0.00303	CDR94670.1	EDO07496.1	CTQ40887.1	GBE60181.1	ORM39473.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC54686.1	CDR11507.1	ANQ06323.1	GAB68234.1	CZT99183.1	KJP88292.1	KYN97837.1	CRG95984.1	EUD65145.1	CAA9990059.1	SCP02476.1	KYN95131.1	CRH03653.1	SOV16439.1	VEV55390.1	EDL46768.1	VTZ75152.1	*	*	CAI72936.1	EKX74263.1	BAM39649.1	EAN34398.2	*	full_gca_44	26	26	3	ATP-dependent RNA helicase, putative
31	31	0.00375	CDR94952.1	EDO06101.1	CCF73878.1	GBE61820.1	ORM41500.1	*	KAF7457236.1	EAL38223.1	EEA05012.1	EAK88132.1	OII71323.1	*	*	*	*	*	*	*	*	*	VUC57662.1	CDR15605.1	ANQ09969.1	GAB67942.1	CZU00339.1	KJP86365.1	KYN96230.1	CRG94839.1	EUD69278.1	CAA9989499.1	SCO93930.1	KYN94292.1	CRH01282.1	SOV19776.1	VEV58363.1	EDL46018.1	VTZ80701.1	*	*	CAI76484.1	AFZ81456.1	BAM42092.1	EAN31799.1	*	full_gca_44	31	31	4	zinc finger protein, putative
29	29	0.0128	*	*	*	*	*	PFH36546.1	*	*	*	*	*	CDI83514.1	CDJ49163.1	CDJ61326.1	CDJ33848.1	CDJ64221.1	CDI73825.1	CDJ36999.1	*	*	VUC55459.1	CDR12825.1	ANQ07465.1	GAB65863.1	CAD51972.2	KJP87426.1	KYO00270.1	CRG96838.1	EUD68113.1	CAA9987567.1	SBT87944.1	KYN98584.1	CRG99502.1	SOV14464.1	VEV56114.1	EDL45103.1	VTZ77662.1	*	*	CAI74429.1	*	BAM40283.1	KAF5153652.1	EPT24427.1	full_gca_44	29	29	5	hypothetical protein, conserved
27	27	0.00175	*	*	*	*	*	PFH32606.1	*	*	*	*	*	CDI83849.1	CDJ54245.1	CDJ59904.1	CDJ36129.1	CDJ65157.1	CDI73694.1	CDJ40972.1	*	CBZ50432.1	VUC58266.1	CDR16574.1	ANQ09412.1	GAB68887.1	CAD50892.1	KJP85610.1	KYO01282.1	CRG97615.1	EUD68912.1	CAA9990830.1	SCP03337.1	KYO00450.1	CRH02475.1	SOV13018.1	VEV58982.1	EDL47423.1	VTZ81538.1	*	*	*	*	*	*	EPT31682.1	full_gca_44	27	27	5	hypothetical protein, conserved
25	25	0.00715	CDR95714.1	EDO06960.1	*	*	ORM39751.1	PFH32601.1	*	*	*	*	*	*	*	*	*	*	*	*	*	CBZ50437.1	VUC58154.1	CDR16408.1	ANQ09828.1	GAB68777.1	CAD52245.1	KJP90040.1	KYN96911.1	CRG97499.1	EUD68797.1	CAA9990713.1	SCP03223.1	*	CRH02359.1	SOV17489.1	VEV58871.1	EDL47312.1	VTZ81426.1	*	*	*	AFZ80190.1	BAM38895.1	EAN33646.1	EPT31677.1	full_gca_44	25	25	6	protein ISD11, putative
33	33	0.0346	CDR97413.1	EDO08502.1	SIO73664.1	GBE58576.1	ORM40109.1	PFH32891.1	KAF7456303.1	EAL35237.1	EEA04794.1	EAK87316.1	OII70899.1	*	*	*	*	*	*	*	*	CBZ52109.1	VUC53913.1	CDR10648.1	ANQ05933.1	GAB64577.1	CAD49055.2	KJP85347.1	*	CRG93350.1	EUD64733.1	CAA9986307.1	SBT87098.1	KYO03424.1	CRH03049.1	SOV10249.1	VEV54600.1	EDL43809.1	VTZ71692.1	*	*	CAI76860.1	AFZ81695.1	BAM41700.1	EAN32210.1	EPT30565.1	full_gca_44	33	33	7	conserved protein, unknown function
33	33	0.00348	CDR96113.1	EDO05193.1	CCF76012.1	GBE62624.1	ORM42086.1	PFH38463.1	*	*	*	*	*	*	CDJ52755.1	CDJ56560.1	*	CDJ67256.1	*	CDJ43427.1	*	CBZ53557.1	VUC56696.1	CDR14048.1	ANQ09148.1	GAB67271.1	CAG25100.2	KJP85833.1	KYO01984.1	CRG93865.1	EUD68601.1	CAA9989038.1	SCO93097.1	KYO01167.1	CRH00849.1	SOV12697.1	VEV57402.1	EDL46569.1	VTZ79562.1	*	*	CAI73994.1	AFZ80586.1	BAM38557.1	EAN33275.1	EPT28739.1	full_gca_44	33	33	7	glutamyl-tRNA(Gln) amidotransferase subunit B, putative
25	25	0.0193	*	*	*	*	*	*	KAF7459271.1	EAL37155.1	EEA06034.1	EAK87824.1	OII72107.1	*	*	*	*	*	*	*	EZG66594.1	*	VUC54808.1	CDR11688.1	ANQ06137.1	GAB64781.1	CAB62893.1	KJP87024.1	KYO02825.1	CRG98188.1	EUD65071.1	CAA9986526.1	SBT86265.1	KYO02099.1	CRG98604.1	SOV11364.1	VEV55512.1	EDL43575.1	VTZ75396.1	KAH0472039.1	KAH0475800.1	*	*	*	*	*	full_gca_44	25	25	4	conserved Plasmodium protein, unknown function
31	31	0.036	CDR94400.1	EDO07308.1	SJK86619.1	GBE60435.1	ORM39591.1	*	KAF7457803.1	EAL36713.1	EEA06334.1	EAK89834.1	OII73059.1	*	*	*	*	*	*	*	*	*	VUC56514.1	CDR13776.1	ANQ08530.1	GAB66971.1	CAD51460.1	KJP88862.1	KYO02292.1	CRG97871.1	EUD68219.1	CAA9988745.1	SBT86667.1	KYO01526.1	CRH00574.1	SOV11614.1	VEV57220.1	EDL43540.1	VTZ79381.1	*	*	CAI73284.1	EKX73904.1	BAM39312.1	EAN34054.1	*	full_gca_44	31	31	4	conserved Plasmodium protein, unknown function
28	28	0.0287	*	*	*	*	*	PFH32251.1	KAF7459175.1	EAL35532.1	EEA05248.1	EAK89134.1	OII70819.1	*	*	*	*	*	*	*	*	CBZ51424.1	VUC56219.1	CDU21706.1	ANQ10431.1	GAB68488.1	CZT99917.1	KJP89793.1	KYN95818.1	CRG95724.1	EUD65920.1	CAA9990400.1	SCP02732.1	KYN93869.1	CRH03932.1	SOV18932.1	VEV56928.1	EDL47023.1	VTZ78971.1	*	*	*	AFZ81451.1	BAM42088.1	KAF5153242.1	EPT31105.1	full_gca_44	28	28	6	conserved Plasmodium protein, unknown function
26	26	0.00467	CDR95541.1	EDO05284.1	SJK85960.1	GBE61287.1	ORM40378.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC57443.1	CDR15265.1	ANQ09711.1	GAB68164.1	CZU00118.1	KJP87727.1	KYN96014.1	CRG94617.1	EUD69505.1	CAA9989728.1	SCO94150.1	KYN94075.1	CRH01504.1	SOV19338.1	VEV58141.1	EDL46242.1	VTZ80477.1	*	*	CAI75359.1	EKX72325.1	BAM41491.1	EAN30866.1	*	full_gca_44	26	26	3	GTP-binding protein, putative
30	30	0.0141	CDR96183.1	EDO05147.1	SIO73736.1	GBE62677.1	ORM42047.1	*	KAF7456503.1	*	EEA05364.1	EAK89706.1	OII73746.1	*	*	*	*	*	*	*	*	*	VUC58693.1	CDR17188.1	ANQ10851.1	GAB69316.1	CZT99655.1	KJP87585.1	KYN98281.1	CRG97128.1	EUD64631.1	CAA9991297.1	SCP03771.1	KYN95599.1	CRH02918.1	SOV17140.1	VEV59405.1	EDL44299.1	VTZ81964.1	*	*	CAI74096.1	EKX73486.1	BAM40495.1	KAF5153704.1	*	full_gca_44	30	30	4	rRNA-processing protein, putative
31	31	0.0114	CDR97756.1	EDO05738.1	CCF73234.1	*	*	PFH37258.1	*	*	*	*	*	*	CDJ52610.1	*	CDJ31516.1	CDJ64573.1	*	CDJ38254.1	*	CBZ54583.1	VUC58359.1	CDR16708.1	ANQ11098.1	GAB68978.1	CZT99301.1	KJP86435.1	KYN97951.1	CRG97709.1	EUD69002.1	CAA9990932.1	SCP03430.1	KYN93220.1	CRH02569.1	SOV16705.1	VEV59075.1	EDL47512.1	VTZ81631.1	*	*	CAI73868.1	AFZ80391.1	BAM38687.1	EAN33412.1	EPT26709.1	full_gca_44	31	31	7	conserved Plasmodium protein, unknown function
41	41	0.00919	CDR96710.1	EDO08286.1	CCF75462.2	GBE58843.1	ORM40026.1	PFH31363.1	KAF7457684.1	EAL37355.1	EEA07443.1	EAZ51331.1	OII74585.1	CDI78446.1	*	*	*	CDJ65089.1	CDI83183.1	CDJ41319.1	EZG43837.1	CBZ56373.1	VUC53930.1	CDR10677.1	ANQ06062.1	GAB64594.1	CZT62482.1	KJP89179.1	KYO03723.1	CRG93334.1	EUD64750.1	CAA9986324.1	SBT87115.1	KYO03408.1	CRH03066.1	SOV10232.1	VEV54616.1	EDL43825.1	VTZ71709.1	KAH0476695.1	KAH0488958.1	CAI76638.1	AFZ81288.1	BAM41931.1	EAN31973.2	EPT25356.1	full_gca_44	41	41	10	double-strand break repair protein MRE11, putative
26	26	0.00177	CDR96431.1	EDO07755.1	CCF75279.2	GBE59503.1	ORM41074.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC56357.1	CDU21844.1	ANQ10537.1	GAB68628.1	CZT99769.1	KJP88523.1	KYN95674.1	CRG95584.1	EUD65822.1	CAA9990544.1	SCP02873.1	KYN93720.1	CRH04072.1	SOV18637.1	VEV57067.1	EDL47160.1	VTZ79109.1	*	*	CAI75877.1	EKX73273.1	BAM40956.1	EAN30492.2	*	full_gca_44	26	26	3	conserved Plasmodium protein, unknown function
26	26	0.00774	CDR94975.1	EDO06080.1	CCF75898.1	GBE61827.1	ORM41531.1	PFH36669.1	KAF7456853.1	EAL37369.1	EEA08358.1	EAK90061.1	OII73395.1	CDI78799.1	CDJ48510.1	*	*	CDJ67029.1	CDI82326.1	CDJ41311.1	EZG47203.1	CBZ50920.1	*	*	*	GAB66917.1	*	*	*	*	*	*	*	*	*	*	*	*	*	KAH0484623.1	KAH0485495.1	CAI76505.1	AFZ81431.1	BAM42072.1	EAN31817.1	EPT27730.1	full_gca_44	26	26	10	hypothetical protein, conserved
22	22	0.00543	CDR95796.1	EDO06892.1	*	GBE59690.1	ORM39696.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC58375.1	CDR16734.1	ANQ10868.1	GAB68992.1	CZT99317.1	KJP87190.1	KYN97967.1	CRG97725.1	EUD69015.1	CAA9990948.1	SCP03446.1	KYN95267.1	CRH02585.1	SOV16738.1	VEV59090.1	EDL47527.1	VTZ81647.1	*	*	*	AFZ80423.1	*	*	*	full_gca_44	22	22	3	conserved Plasmodium protein, unknown function
30	30	0.0108	CDR94035.1	EDO06617.1	CTQ40700.1	GBE60781.1	*	*	*	*	*	*	*	CDI78178.1	CDJ52891.1	*	*	CDJ65359.1	*	CDJ42559.1	*	CBZ55258.1	VUC57693.1	CDR15653.1	ANQ09681.1	GAB67910.1	CZU00371.1	KJP85170.1	KYN96262.1	CRG94871.1	EUD69245.1	CAA9989465.1	SCO93898.1	KYN94325.1	CRH01250.1	SOV19839.1	VEV58395.1	EDL45987.1	VTZ80732.1	*	*	CAI74350.1	AFZ79602.1	BAM40360.1	EAN32916.1	*	full_gca_44	30	30	5	50S ribosomal protein L22, apicoplast, putative
26	26	0.0153	CDR95156.1	EDO06268.1	SIO73805.1	GBE61626.1	ORM40644.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC57212.1	CDR14857.1	ANQ08729.1	GAB66902.1	CAD51530.1	KJP87160.1	KYO02361.1	CRG97944.1	EUD68286.1	CAA9988673.1	SCN44857.1	KYN93460.1	CRH00499.1	SOV11719.1	VEV57924.1	EDL44065.1	VTZ80146.1	*	*	CAI76324.1	AFZ81136.1	BAM42252.1	EAN31632.2	*	full_gca_44	26	26	3	sporozoite surface antigen MB2, putative
39	39	0.0422	CDR95802.1	EDO06886.1	SJK85816.1	GBE59697.1	ORM39627.1	PFH34958.1	KAF7457826.1	EAL36613.1	EEA06310.1	EAK89853.1	OII73081.1	*	*	CDJ61737.1	*	CDJ69158.1	*	CDJ42312.1	*	CBZ54066.1	VUC57777.1	CDR15775.1	ANQ09495.1	GAB67823.1	VWP77542.1	KJP89934.1	KYN97037.1	CRG94961.1	EUD69157.1	CAA9989375.1	SCO93811.1	KYN94680.1	CRH01160.1	SOV17746.1	VEV58480.1	EDL45902.1	VTZ80816.1	KAH0483154.1	KAH0484755.1	CAI73830.1	AFZ80431.1	BAM38731.1	EAN33458.1	EPT27333.1	full_gca_44	39	39	9	protein BCP1, putative
37	37	0.00756	CDR97682.1	EDO07004.1	SJK86439.1	GBE62247.1	ORM40551.1	PFH37156.1	KAF7459017.1	EAL38253.1	EEA07005.1	EAK90226.1	OII74062.1	CDI81344.1	*	*	*	CDJ67437.1	*	CDJ40887.1	*	CBZ54685.1	VUC58189.1	CDR16459.1	ANQ09792.1	GAB68811.1	CAD52289.1	KJP90007.1	KYN96946.1	CRG97535.1	EUD68831.1	CAA9990751.1	SCP03258.1	KYN94585.1	CRH02395.1	SOV17568.1	VEV58905.1	EDL47345.1	VTZ81461.1	*	*	CAI72897.1	EKX74383.1	BAM39681.1	EAN34433.1	EPT26603.1	full_gca_44	37	37	8	cop-coated vesicle membrane protein p24 precursor, putative
32	32	0.0459	CDR94643.1	EDO07486.1	CCF76017.1	GBE60200.1	*	*	KAF7456090.1	EAL35684.1	EEA05174.1	EAK89186.1	OII70749.1	*	*	*	*	*	*	*	*	*	VUC56687.1	CDR14035.1	ANQ08856.1	GAB67280.1	CAG25092.2	KJP85194.1	KYO01974.1	CRG93856.1	EUD68592.1	CAA9989047.1	SCO93106.1	KYO01158.1	CRH00858.1	SOV12688.1	VEV57393.1	EDL46561.1	VTZ79553.1	KAH0485124.1	KAH0475900.1	CAI72919.1	EKX74253.1	BAM39670.1	EAN34412.1	*	full_gca_44	32	32	5	ribonuclease P protein subunit p29, putative
25	25	0.00312	*	*	*	*	*	PFH35161.1	KAF7456741.1	EAL37669.1	EEA07666.1	EAK89531.1	OII73806.1	*	*	*	*	*	*	*	*	CBZ54245.1	VUC56704.1	CDR14060.1	ANQ09008.1	GAB67264.1	CAG25107.1	KJP85826.1	KYO01992.1	CRG93872.1	EUD68608.1	CAA9989028.1	SCO93090.1	KYO01174.1	CRH00842.1	SOV12704.1	VEV57409.1	EDL46576.1	VTZ79570.1	*	*	*	*	*	*	EPT27110.1	full_gca_44	25	25	5	amino acid transporter, putative
25	25	0.00556	CDR94095.1	*	*	*	ORM41767.1	PFH35281.1	*	*	*	*	*	*	*	*	*	*	*	*	*	CBZ54340.1	VUC56489.1	CDR13739.1	ANQ08736.1	GAB66996.1	CAD51435.1	KJP88836.1	KYO02266.1	CRG97846.1	EUD68194.1	CAA9988770.1	SBT86692.1	KYO01501.1	CRH00599.1	SOV11589.1	VEV57195.1	EDL43515.1	VTZ79356.1	*	*	*	AFZ79521.1	BAM40300.1	KAF5153655.1	EPT27001.1	full_gca_44	25	25	6	conserved Plasmodium protein, unknown function
24	24	0.00218	CDR96968.1	EDO08134.1	*	GBE59040.1	ORM40085.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC56984.1	CDR14527.1	ANQ07621.1	*	CZT98350.1	KJP86010.1	KYN99477.1	CRG94160.1	EUD67466.1	CAA9987742.1	SCN12136.1	KYN97547.1	CRG99654.1	SOV14707.1	VEV57694.1	EDL44685.1	VTZ79918.1	*	*	CAI74602.1	AFZ79275.1	BAM40113.1	EAN32664.2	*	full_gca_44	24	24	3	conserved Plasmodium protein, unknown function
40	40	0.00774	CDR95503.1	EDO05315.1	SJK86122.1	GBE61319.1	ORM40560.1	PFH37559.1	KAF7459280.1	EAL37149.1	EEA06021.1	EAK87834.1	OII72098.1	CDI80135.1	CDJ51101.1	CDJ57862.1	CDJ28454.1	CDJ69738.1	*	CDJ41958.1	*	CBZ55675.1	VUC55400.1	CDR12738.1	ANQ07267.1	GAB65806.1	CAX64230.1	KJP87485.1	KYO00213.1	CRG96779.1	EUD68055.1	CAA9987502.1	SBT87885.1	KYN98521.1	CRG99443.1	SOV14348.1	VEV56055.1	EDL45037.1	VTZ77544.1	*	*	CAI75327.1	EKX72190.1	BAM41510.1	KAF5153086.1	EPT24594.1	full_gca_44	40	40	8	NADPH-cytochrome p450 reductase, putative
26	26	0.00117	CDR97614.1	EDO07068.1	CCF72707.1	GBE62316.1	ORM40289.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	VUC57016.1	CDR14574.1	ANQ07744.1	GAB66070.1	CZT98383.1	KJP86217.1	KYN99508.1	CRG94191.1	EUD67434.1	CAA9987774.1	SCN12168.1	KYN97583.1	CRG99686.1	SOV14776.1	VEV57726.1	EDL44717.1	VTZ79950.1	*	*	CAI73583.1	AFZ79969.1	BAM38989.1	EAN33746.2	*	full_gca_44	26	26	3	conserved Plasmodium protein, unknown function
43	43	0.00267	CDR97986.1	EDO05811.1	SIO73312.1	GBE62524.1	ORM41316.1	PFH34397.1	KAF7457534.1	EAL37560.1	EEA08547.1	EAK88670.1	OII71908.1	CDI76121.1	CDJ50728.1	CDJ57360.1	*	CDJ68640.1	CDI77322.1	CDJ43248.1	EZG46184.1	CBZ55341.1	VUC57634.1	CDR15551.1	ANQ09456.1	GAB67968.1	CZU00313.1	KJP88474.1	KYN96206.1	CRG94813.1	EUD69304.1	CAA9989529.1	SCO93956.1	KYN94267.1	CRH01308.1	SOV19723.1	VEV58331.1	EDL46043.1	VTZ80668.1	KAH0477540.1	KAH0478808.1	CAI75646.1	EKX72774.1	BAM41156.1	EAN31173.1	EPT25800.1	full_gca_44	43	43	10	splicing factor 3B subunit 2, putative
27	27	0.00635	*	*	*	*	*	PFH37303.1	*	*	*	*	*	CDI77274.1	CDJ52033.1	CDJ60901.1	CDJ31072.1	CDJ69325.1	CDI87074.1	CDJ44721.1	*	CBZ53768.1	VUC54756.1	CDR11611.1	ANQ06472.1	GAB68307.1	CZT99259.1	KJP86626.1	KYN97914.1	CRG95912.1	EUD66540.1	CAA9990134.1	SCP02548.1	KYN95209.1	CRH00673.1	SOV16615.1	VEV55461.1	EDL46842.1	VTZ75292.1	*	*	*	*	*	*	EPT28516.1	full_gca_44	27	27	5	porphobilinogen deaminase, putative
25	25	0.00331	*	*	*	*	*	PFH35765.1	*	*	*	*	*	*	CDJ52825.1	CDJ56866.1	*	CDJ69844.1	CDI74874.1	CDJ39526.1	*	CBZ54554.1	VUC54879.1	CDR11791.1	ANQ06089.1	GAB64856.1	CAD50976.1	KJP87858.1	KYO01368.1	CRG94446.1	EUD65261.1	CAA9986608.1	SBT86337.1	KYO00534.1	CRH02979.1	SOV13184.1	VEV55583.1	EDL43069.1	VTZ75538.1	*	*	*	*	*	*	EPT26743.1	full_gca_44	25	25	5	hypothetical protein, conserved
