# Species	Genes	Alg.-Conn.	GCF_000956335.1_Plas_frag_nilgiri_V1_protein.faa	GCF_001680005.1_ASM168000v1_protein.faa	GCF_900002335.2_PCHAS01_protein.faa	GCF_900005855.1_PGAL8A_protein.faa	GCF_900090045.1_PmUG01_protein.faa
5	5	0.558	XP_012336422.1	XP_019915581.1	XP_740021.2	XP_028526541.1	XP_028862677.1
5	5	0.814	XP_012337850.1	XP_019913395.1	XP_740015.2	XP_028527346.1	XP_028860540.1
5	5	0.864	XP_012335999.1	XP_019917663.1	XP_740060.2	XP_028529860.1	XP_028864655.1
5	5	0.903	XP_012335428.1	XP_019915576.1	XP_739994.2	XP_028526825.1	XP_028862405.1
5	5	0.811	XP_012337260.1	XP_019914967.1	XP_739992.2	XP_028529028.1	XP_028861592.1
5	5	0.873	XP_012333249.1	XP_019916194.1	XP_739988.2	XP_028530337.1	XP_028864214.1
5	5	0.851	XP_012334962.1	XP_019916667.1	XP_739975.2	XP_028527605.1	XP_028863255.1
5	5	0.816	XP_012335109.1	XP_019913292.1	XP_739966.1	XP_028528770.1	XP_028863531.1
5	5	0.777	XP_012333445.1	XP_019916459.1	XP_739956.2	XP_028527790.1	XP_028863073.1
5	5	0.831	XP_012337586.1	XP_019917198.1	XP_739953.2	XP_028528628.1	XP_028863672.1
5	5	0.876	XP_012335878.1	XP_019915317.1	XP_740090.2	XP_028525803.1	XP_028862009.1
5	5	0.837	XP_012333260.1	XP_019916959.1	XP_740152.2	XP_028530326.1	XP_028864203.1
5	5	0.924	XP_012337883.1	XP_019913344.1	XP_740141.2	XP_028527146.1	XP_028859655.1
5	5	0.816	XP_012337948.1	XP_019915013.1	XP_740140.2	XP_028528937.1	XP_028861499.1
2	2	1	*	*	*	XP_028530938.1	XP_028859389.1
5	5	0.396	XP_012335204.1	XP_019916276.1	XP_740129.2	XP_028530365.1	XP_028864242.1
5	5	0.822	XP_012336741.1	XP_019913753.1	XP_740127.2	XP_028530147.1	XP_028862216.1
5	5	0.886	XP_012334822.1	XP_019917131.1	XP_740120.2	XP_028528429.1	XP_028863867.1
5	5	0.913	XP_012333473.1	XP_019916501.1	XP_740097.2	XP_028527765.1	XP_028863098.1
5	5	0.903	XP_012333613.1	XP_019917270.1	XP_739942.2	XP_028528495.1	XP_028863801.1
5	5	0.843	XP_012335914.1	XP_019914039.1	XP_740088.1	XP_028529630.1	XP_028860865.1
5	5	0.796	XP_012335731.1	XP_019914997.1	XP_740085.2	XP_028529068.1	XP_028861631.1
5	5	0.789	XP_012335226.1	XP_019916075.1	XP_740082.2	XP_028530343.1	XP_028864220.1
5	5	0.906	XP_012337934.1	XP_019917353.1	XP_740076.1	XP_028528446.1	XP_028863850.1
5	5	0.845	XP_012333719.1	XP_019914635.1	XP_740066.2	XP_028528144.1	XP_028861299.1
5	5	0.822	XP_012334694.1	XP_019917743.1	XP_740062.1	XP_028529751.1	XP_028864547.1
5	5	0.673	XP_012335998.1	XP_019917809.1	XP_740061.2	XP_028529861.1	XP_028864656.1
5	5	0.828	XP_012333823.1	XP_019913371.1	XP_739737.2	XP_028526303.1	XP_028860351.1
5	5	0.614	XP_012334017.1	XP_019912546.1	XP_739791.2	XP_028530797.1	XP_028859939.1
5	5	0.832	XP_012337044.1	XP_019917103.1	XP_739788.2	XP_028527640.1	XP_028863221.1
5	5	0.743	XP_012334475.1	XP_019915741.1	XP_739786.2	XP_028526461.1	XP_028862753.1
5	5	0.814	XP_012333701.1	XP_019914335.1	XP_739771.2	XP_028528161.1	XP_028861281.1
5	5	0.747	XP_012337617.1	XP_019915831.1	XP_739768.2	XP_028526662.1	XP_028862559.1
5	5	0.575	XP_012333650.1	XP_019914485.1	XP_739749.2	XP_028527107.1	XP_028861234.1
5	5	0.912	XP_012333288.1	XP_019916749.1	XP_739744.2	XP_028530295.1	XP_028864173.1
5	5	0.789	XP_012333398.1	XP_019917034.1	XP_739738.2	XP_028527835.1	XP_028863030.1
5	5	0.853	XP_012333868.1	XP_019913450.1	XP_739794.2	XP_028526258.1	XP_028860396.1
5	5	0.928	XP_012335106.1	XP_019913136.1	XP_739719.2	XP_028528767.1	XP_028863534.1
5	5	0.848	XP_012338162.1	XP_019916556.1	XP_739718.2	XP_028527976.1	XP_028862886.1
5	5	0.919	XP_012336878.1	XP_019913241.1	XP_739716.2	XP_028527134.1	XP_028859667.1
5	5	0.848	XP_012338473.1	XP_019915492.1	XP_739709.2	XP_028525782.1	XP_028862031.1
5	5	0.807	XP_012336524.1	XP_019917070.1	XP_739708.2	XP_028527912.1	XP_028862948.1
5	5	0.932	XP_012335873.1	XP_019915361.1	XP_739705.2	XP_028525808.1	XP_028862004.1
5	5	0.823	XP_012335847.1	XP_019915476.1	XP_739695.2	XP_028525834.1	XP_028861977.1
5	5	0.791	XP_012336556.1	XP_019914707.1	XP_740153.2	XP_028528919.1	XP_028861481.1
5	5	0.778	XP_012336018.1	XP_019917870.1	XP_739795.2	XP_028529838.1	XP_028864633.1
5	5	0.875	XP_012336531.1	XP_019916835.1	XP_739798.2	XP_028527920.1	XP_028862941.1
5	5	0.408	XP_012336460.1	XP_019916399.1	XP_739800.2	XP_028527549.1	XP_028863310.1
5	5	0.789	XP_012335167.1	XP_019916847.1	XP_739812.1	XP_028530403.1	XP_028864280.1
5	5	0.837	XP_012336359.1	XP_019912994.1	XP_739828.1	XP_028530977.1	XP_028859427.1
5	5	0.58	XP_012336358.1	XP_019912862.1	XP_739829.2	XP_028530978.1	XP_028859428.1
5	5	0.881	XP_012337570.1	XP_019915601.1	XP_739831.2	XP_028526689.1	XP_028862533.1
5	5	0.859	XP_012333355.1	XP_019916687.1	XP_739847.2	XP_028530230.1	XP_028864110.1
5	5	0.864	XP_012334342.1	XP_019913012.1	XP_739874.2	XP_028528671.1	XP_028863629.1
5	5	0.949	XP_012337989.1	XP_019916856.1	XP_739900.2	XP_028528031.1	XP_028862831.1
2	2	1	*	*	*	XP_028531013.1	XP_028860132.1
5	5	0.743	XP_012333853.1	XP_019913629.1	XP_739902.1	XP_028526273.1	XP_028860381.1
5	5	0.853	XP_012337696.1	XP_019915423.1	XP_739909.2	XP_028529371.1	XP_028861919.1
5	5	0.852	XP_012336415.1	XP_019915950.1	XP_739926.1	XP_028526534.1	XP_028862684.1
5	5	0.807	XP_012337022.1	XP_019916767.1	XP_739937.2	XP_028527663.1	XP_028863198.1
5	5	0.516	XP_012335487.1	XP_019912943.1	XP_740488.2	XP_028527245.1	XP_028859529.1
5	5	0.902	XP_012333352.1	XP_019916684.1	XP_740528.2	XP_028530233.1	XP_028864113.1
5	5	0.826	XP_012333353.1	XP_019916221.1	XP_740527.1	XP_028530232.1	XP_028864112.1
5	5	0.842	XP_012335125.1	XP_019913116.1	XP_740520.2	XP_028528787.1	XP_028863514.1
5	5	0.702	XP_012338094.1	XP_019913133.1	XP_740519.2	XP_028527172.1	XP_028859630.1
5	5	0.722	XP_012334720.1	XP_019914184.1	XP_740515.2	XP_028529570.1	XP_028860804.1
5	5	0.645	XP_012338184.1	XP_019912472.1	XP_740511.2	XP_028530891.1	XP_028860036.1
5	5	0.821	XP_012338216.1	XP_019916680.1	XP_740495.2	XP_028527683.1	XP_028863179.1
4	4	0.666	XP_012336625.1	*	XP_740494.2	XP_028529687.1	XP_028860920.1
5	5	0.712	XP_012335711.1	XP_019914960.1	XP_740529.2	XP_028529047.1	XP_028861611.1
5	5	0.88	XP_012337008.1	XP_019915115.1	XP_740487.2	XP_028528950.1	XP_028861512.1
5	5	0.795	XP_012335043.1	XP_019912837.1	XP_740484.2	XP_028530926.1	XP_028859377.1
5	5	0.823	XP_012334456.1	XP_019915594.1	XP_740457.2	XP_028526441.1	XP_028862773.1
5	5	0.881	XP_012334627.1	XP_019917613.1	XP_740454.1	XP_028529821.1	XP_028864616.1
5	5	0.777	XP_012333411.1	XP_019916350.1	XP_740444.1	XP_028527822.1	XP_028863043.1
5	5	0.859	XP_012337787.1	XP_019916894.1	XP_740424.2	XP_028530439.1	XP_028864313.1
5	5	0.917	XP_012335185.1	XP_019917028.1	XP_740412.2	XP_028530384.1	XP_028864261.1
5	5	0.612	XP_012337994.1	XP_019916422.1	XP_740406.2	XP_028527504.1	XP_028863355.1
5	5	0.796	XP_012334451.1	XP_019916037.1	XP_740531.2	XP_028526436.1	XP_028862778.1
5	5	0.873	XP_012334566.1	XP_019915372.1	XP_740540.2	XP_028530629.1	XP_028859853.1
5	5	0.859	XP_012335087.1	XP_019913027.1	XP_740545.2	XP_028528749.1	XP_028863552.1
5	5	0.839	XP_012338120.1	XP_019912538.1	XP_740548.2	XP_028525905.1	XP_028860084.1
5	5	0.584	XP_012334686.1	XP_019917645.1	XP_740551.2	XP_028529759.1	XP_028864555.1
5	5	0.659	XP_012337900.1	XP_019916538.1	XP_740561.2	XP_028530462.1	XP_028864336.1
5	5	0.805	XP_012335813.1	XP_019917697.1	XP_740568.1	XP_028529914.1	XP_028864709.1
4	4	0.893	XP_012334237.1	*	XP_740570.2	XP_028526020.1	XP_028860489.1
5	5	0.855	XP_012338460.1	XP_019914378.1	XP_740577.2	XP_028527005.1	XP_028861132.1
5	5	0.77	XP_012335187.1	XP_019916557.1	XP_740582.2	XP_028530382.1	XP_028864259.1
5	5	0.837	XP_012336573.1	XP_019914720.1	XP_740593.1	XP_028528902.1	XP_028861465.1
5	5	0.89	XP_012336572.1	XP_019915065.1	XP_740594.2	XP_028528903.1	XP_028861466.1
5	5	0.87	XP_012334352.1	XP_019913335.1	XP_740600.2	XP_028528661.1	XP_028863639.1
5	5	0.803	XP_012334681.1	XP_019917585.1	XP_740602.2	XP_028529764.1	XP_028864560.1
5	5	0.877	XP_012334682.1	XP_019917893.1	XP_740603.1	XP_028529763.1	XP_028864559.1
5	5	0.821	XP_012337624.1	XP_019915628.1	XP_740221.1	XP_028526654.1	XP_028862566.1
5	5	0.704	XP_012334610.1	XP_019915225.1	XP_740261.2	XP_028530670.1	XP_028859811.1
5	5	0.86	XP_012336761.1	XP_019913330.1	XP_740258.2	XP_028528722.1	XP_028863579.1
5	5	0.455	XP_012334652.1	XP_019917873.1	XP_740256.2	XP_028529793.1	XP_028864588.1
5	5	0.938	XP_012335311.1	XP_019915688.1	XP_740248.2	XP_028526629.1	XP_028862591.1
5	5	0.843	XP_012336191.1	XP_019917735.1	XP_740235.1	XP_028530564.1	XP_028864437.1
5	5	0.815	XP_012334092.1	XP_019912529.1	XP_740230.2	XP_028530869.1	XP_028860013.1
5	5	0.856	XP_012334776.1	XP_019914279.1	XP_740229.2	XP_028529519.1	XP_028860752.1
5	5	0.88	XP_012334155.1	XP_019912665.1	XP_740224.2	XP_028526115.1	XP_028860209.1
5	5	0.824	XP_012338521.1	XP_019913713.1	XP_740268.2	XP_028530078.1	XP_028862149.1
5	5	0.808	XP_012335839.1	XP_019917543.1	XP_740220.2	XP_028529890.1	XP_028864685.1
5	5	0.902	XP_012336155.1	XP_019917496.1	XP_740201.2	XP_028530529.1	XP_028864402.1
5	5	0.634	XP_012335390.1	XP_019917539.1	XP_740194.2	XP_028526416.1	XP_028864526.1
5	5	0.873	XP_012337422.1	XP_019913664.1	XP_740193.1	XP_028530063.1	XP_028862134.1
5	5	0.535	XP_012337704.1	XP_019915306.1	XP_740175.2	XP_028525886.1	XP_028861927.1
5	5	0.775	XP_012338048.1	XP_019912664.1	XP_740174.2	XP_028526186.1	XP_028860142.1
5	5	0.915	XP_012333733.1	XP_019914591.1	XP_740167.2	XP_028528131.1	XP_028861312.1
5	5	0.892	XP_012333970.1	XP_019914199.1	XP_741453.2	XP_028529401.1	XP_028860639.1
5	5	0.834	XP_012336946.1	XP_019916594.1	XP_740270.2	XP_028530494.1	XP_028864367.1
5	5	0.821	XP_012335703.1	XP_019914963.1	XP_740272.2	XP_028529039.1	XP_028861603.1
5	5	0.698	XP_012335100.1	XP_019913197.1	XP_740278.2	XP_028528761.1	XP_028863540.1
5	5	0.936	XP_012333269.1	XP_019916738.1	XP_740280.2	XP_028530314.1	XP_028864192.1
5	5	0.872	XP_012337811.1	XP_019915478.1	XP_740287.2	XP_028530681.1	XP_028859801.1
5	5	0.529	XP_012333137.1	XP_019915084.1	XP_740298.2	XP_028529180.1	XP_028861738.1
5	5	0.787	XP_012336708.1	XP_019913814.1	XP_740302.2	XP_028530114.1	XP_028862184.1
5	5	0.866	XP_012335256.1	XP_019915726.1	XP_740312.1	XP_028526577.1	XP_028862644.1
5	5	0.833	XP_012338033.1	XP_019912758.1	XP_740332.1	XP_028526170.1	XP_028860158.1
5	5	0.632	XP_012333427.1	XP_019916598.1	XP_740343.2	XP_028527808.1	XP_028863056.1
5	5	0.936	XP_012337775.1	XP_019915299.1	XP_740345.1	XP_028525848.1	XP_028861964.1
5	5	0.855	XP_012336094.1	XP_019916057.1	XP_740351.2	XP_028526742.1	XP_028862483.1
5	5	0.921	XP_012335299.1	XP_019915680.1	XP_740353.2	XP_028526620.1	XP_028862601.1
5	5	0.743	XP_012337688.1	XP_019915388.1	XP_740358.2	XP_028529380.1	XP_028861910.1
2	2	1	*	*	*	XP_028530909.1	XP_028859361.1
2	2	1	*	*	XP_016653434.1	*	XP_028863604.1
3	3	0.477	*	*	XP_016653318.1	XP_028527124.1	XP_028861251.1
4	4	0.82	XP_012335129.1	XP_019913075.1	*	XP_028528791.1	XP_028863510.1
4	4	0.664	XP_012335119.1	XP_019913054.1	*	XP_028528781.1	XP_028863520.1
4	4	0.839	XP_012335093.1	XP_019913221.1	*	XP_028528754.1	XP_028863547.1
3	3	0.486	XP_012335073.1	XP_019912795.1	*	*	XP_028859348.1
3	3	0.951	XP_012335058.1	XP_019912791.1	*	*	XP_028859363.1
4	4	0.585	XP_012335055.1	XP_019912818.1	*	XP_028530914.1	XP_028859366.1
3	3	0.823	*	*	XP_016653383.1	XP_028528796.1	XP_028863506.1
3	3	0.95	*	*	XP_016653295.1	XP_028528154.1	XP_028861289.1
3	3	0.714	*	*	XP_016653448.1	XP_028530993.1	XP_028859443.1
4	4	0.302	XP_012334991.1	XP_019916920.1	*	XP_028527636.1	XP_028863225.1
3	3	0.922	*	*	XP_016653474.1	XP_028525958.1	XP_028859486.1
4	4	0.794	XP_012334960.1	XP_019916293.1	*	XP_028527603.1	XP_028863257.1
3	3	0.913	*	*	XP_016653475.1	XP_028525959.1	XP_028859487.1
4	4	0.505	XP_012334896.1	XP_019917113.1	*	XP_028528357.1	XP_028863938.1
3	3	0.915	*	*	XP_016653573.1	XP_028529255.1	XP_028861811.1
4	4	0.643	XP_012335362.1	XP_019917526.1	*	XP_028526388.1	XP_028864498.1
3	3	0.523	*	XP_019912823.1	XP_743301.2	XP_028530968.1	*
3	3	0.624	XP_012335481.1	XP_019915635.1	*	*	XP_028862352.1
3	3	0.741	XP_012335480.1	XP_019915783.1	*	*	XP_028862353.1
2	2	1	XP_012335715.1	*	*	XP_028529051.1	*
4	4	0.802	XP_012335429.1	XP_019915722.1	*	XP_028526826.1	XP_028862404.1
3	3	0.987	*	*	XP_016652978.1	XP_028526451.1	XP_028862763.1
2	2	1	*	*	XP_016653173.1	*	XP_028859706.1
3	3	0.877	*	*	XP_016653204.1	XP_028527157.1	XP_028859645.1
4	4	0.579	XP_012334876.1	XP_019917111.1	*	XP_028528377.1	XP_028863920.1
4	4	0.586	XP_012335284.1	XP_019915852.1	*	XP_028526604.1	XP_028862617.1
3	3	0.925	*	*	XP_016653232.1	XP_028527213.1	XP_028859590.1
3	3	0.856	XP_012335180.1	*	*	XP_028530390.1	XP_028864267.1
2	2	1	XP_012335147.1	*	*	*	XP_028859122.1
3	3	0.663	XP_012335144.1	XP_019913217.1	*	*	XP_028863496.1
2	2	1	XP_012335140.1	*	*	*	XP_028863497.1
3	3	0.794	XP_012335137.1	XP_019913340.1	*	*	XP_028863502.1
2	2	1	*	*	XP_016655170.1	*	XP_028862125.1
3	3	0.0915	XP_012334340.1	XP_019913202.1	*	*	XP_028863627.1
4	4	0.524	XP_012334251.1	XP_019913499.1	*	XP_028526010.1	XP_028860425.1
3	3	0.805	*	*	XP_016654764.1	XP_028528029.1	XP_028862833.1
3	3	0.81	*	*	XP_016654937.1	XP_028530514.1	XP_028864387.1
3	3	0.938	XP_012334216.1	XP_019912659.1	*	*	XP_028860270.1
3	3	0.245	XP_012334215.1	XP_019912641.1	*	*	XP_028860267.1
3	3	0.915	*	*	XP_016654956.1	XP_028530563.1	XP_028864436.1
3	3	0.879	*	*	XP_016655069.1	XP_028529862.1	XP_028864657.1
4	4	0.848	XP_012334386.1	XP_019913014.1	*	XP_028528255.1	XP_028859744.1
3	3	0.948	XP_012334110.1	*	*	XP_028530886.1	XP_028860031.1
3	3	0.867	*	*	XP_016655238.1	XP_028530191.1	XP_028862263.1
3	3	0.625	XP_012334049.1	XP_019912465.1	*	*	XP_028859972.1
4	4	0.843	XP_012334044.1	XP_019912391.1	*	XP_028530825.1	XP_028859967.1
3	3	0.974	*	*	XP_016655318.1	XP_028528976.1	XP_028861539.1
3	3	0.733	XP_012334012.1	XP_019912473.1	*	*	XP_028859936.1
2	2	1	*	*	XP_016655363.1	*	XP_028861623.1
2	2	1	XP_012334523.1	*	*	*	XP_028859904.1
3	3	0.673	*	*	XP_016653763.1	XP_028529468.1	XP_028860703.1
3	3	0.961	*	*	XP_016653789.1	XP_028529521.1	XP_028860754.1
4	4	0.416	XP_012334793.1	XP_019913987.1	*	XP_028529502.1	XP_028860735.1
3	3	0.544	*	*	XP_016653790.1	XP_028529527.1	XP_028860760.1
2	2	1	*	*	XP_016654102.1	*	XP_028862372.1
3	3	0.735	*	*	XP_016654274.1	XP_028526203.1	XP_028860048.1
3	3	0.849	*	*	XP_016654287.1	XP_028525909.1	XP_028860080.1
3	3	0.725	*	*	XP_016654322.1	XP_028525779.1	XP_028862034.1
4	4	0.873	XP_012335550.1	XP_019912792.1	*	XP_028525939.1	XP_028859467.1
4	4	0.476	XP_012334479.1	XP_019915622.1	*	XP_028526465.1	XP_028862749.1
4	4	0.907	XP_012334463.1	XP_019916049.1	*	XP_028526448.1	XP_028862766.1
3	3	0.824	*	*	XP_016654435.1	XP_028527413.1	XP_028863446.1
3	3	0.942	*	*	XP_016654535.1	XP_028527592.1	XP_028863268.1
3	3	0.968	*	*	XP_016654628.1	XP_028527735.1	XP_028863127.1
3	3	0.806	XP_012334434.1	XP_019916034.1	*	*	XP_028862796.1
3	3	0.487	XP_012334433.1	XP_019915651.1	*	*	XP_028862797.1
2	2	1	XP_012338330.1	XP_019917542.1	*	*	*
2	2	1	XP_012333622.1	XP_019917388.1	*	*	*
2	2	1	XP_012337087.1	*	*	*	XP_028862987.1
4	4	0.568	XP_012337076.1	XP_019916231.1	*	XP_028527867.1	XP_028862999.1
4	4	0.947	XP_012336953.1	XP_019916104.1	*	XP_028530487.1	XP_028864360.1
2	2	1	XP_012333554.1	XP_019917433.1	*	*	*
4	4	0.925	XP_012336819.1	XP_019913681.1	*	XP_028530179.1	XP_028862251.1
2	2	1	XP_012333615.1	XP_019917435.1	*	*	*
2	2	1	XP_012333543.1	XP_019917444.1	*	*	*
2	2	1	XP_012333555.1	XP_019917330.1	*	*	*
4	4	0.688	XP_012336724.1	XP_019913853.1	*	XP_028530131.1	XP_028862200.1
2	2	1	XP_012335988.1	XP_019917559.1	*	*	*
2	2	1	XP_012335833.1	XP_019917570.1	*	*	*
4	4	0.781	XP_012336700.1	XP_019913677.1	*	XP_028530106.1	XP_028862176.1
4	4	0.619	XP_012336666.1	XP_019917032.1	*	XP_028527372.1	XP_028863484.1
4	4	0.424	XP_012336664.1	XP_019916362.1	*	XP_028527370.1	XP_028863486.1
3	3	0.517	XP_012336662.1	XP_019916841.1	*	*	XP_028863488.1
4	4	0.236	XP_012337480.1	XP_019916358.1	*	XP_028527963.1	XP_028862899.1
4	4	0.832	XP_012337694.1	XP_019915228.1	*	XP_028529373.1	XP_028861917.1
4	4	0.563	XP_012337665.1	XP_019915732.1	*	XP_028526732.1	XP_028862493.1
2	2	1	XP_012337595.1	XP_019917202.1	*	*	*
4	4	0.789	XP_012337609.1	XP_019915548.1	*	XP_028526669.1	XP_028862552.1
2	2	1	XP_012334845.1	XP_019917267.1	*	*	*
4	4	0.51	XP_012337528.1	XP_019914842.1	*	XP_028529307.1	XP_028861862.1
2	2	1	XP_012333595.1	XP_019917299.1	*	*	*
2	2	1	XP_012337597.1	XP_019917300.1	*	*	*
3	3	0.759	XP_012336660.1	XP_019916085.1	*	*	XP_028863489.1
4	4	0.561	XP_012337479.1	XP_019916259.1	*	XP_028527962.1	XP_028862900.1
4	4	0.86	XP_012337466.1	XP_019916400.1	*	XP_028527949.1	XP_028862913.1
2	2	1	XP_012337361.1	*	*	*	XP_028861093.1
2	2	1	XP_012334841.1	XP_019917310.1	*	*	*
2	2	1	XP_012334908.1	XP_019917315.1	*	*	*
3	3	0.78	XP_012337342.1	XP_019912733.1	*	*	XP_028860122.1
2	2	1	XP_012337208.1	*	*	*	XP_028859047.1
2	2	1	XP_012335775.1	*	*	*	XP_028864748.1
4	4	0.907	XP_012335945.1	XP_019914114.1	*	XP_028529599.1	XP_028860834.1
2	2	1	XP_012334711.1	XP_019917722.1	*	*	*
4	4	0.879	XP_012335885.1	XP_019915471.1	*	XP_028525796.1	XP_028862016.1
2	2	1	XP_012334010.1	XP_019917741.1	*	*	*
4	4	0.51	XP_012335838.1	XP_019917847.1	*	XP_028529891.1	XP_028864686.1
4	4	0.888	XP_012335828.1	XP_019917586.1	*	XP_028529899.1	XP_028864694.1
2	2	1	XP_012335326.1	XP_019917777.1	*	*	*
3	3	0.822	XP_012335779.1	XP_019917838.1	*	*	XP_028864743.1
4	4	0.879	XP_012335960.1	XP_019914195.1	*	XP_028529585.1	XP_028860820.1
3	3	0.538	XP_012335773.1	XP_019917792.1	*	*	XP_028863949.1
3	3	0.403	XP_012335772.1	XP_019917684.1	*	*	XP_028863950.1
4	4	0.747	XP_012335721.1	XP_019915058.1	*	XP_028529057.1	XP_028861620.1
2	2	1	*	XP_019915775.1	*	XP_028526655.1	*
4	4	0.854	XP_012335694.1	XP_019916354.1	*	XP_028527457.1	XP_028863402.1
2	2	1	*	XP_019917093.1	*	XP_028530254.1	*
2	2	1	*	XP_019915371.1	*	XP_028530602.1	*
2	2	1	XP_012335776.1	XP_019917650.1	*	*	*
2	2	1	XP_012335982.1	XP_019917609.1	*	*	*
4	4	0.436	XP_012336604.1	XP_019913940.1	*	XP_028529708.1	XP_028860940.1
3	3	0.615	XP_012336595.1	XP_019914084.1	*	*	XP_028860948.1
2	2	1	XP_012335832.1	XP_019917639.1	*	*	*
4	4	0.71	XP_012336448.1	XP_019916622.1	*	XP_028527561.1	XP_028863298.1
3	3	0.848	XP_012336423.1	*	*	XP_028526542.1	XP_028862676.1
2	2	1	XP_012334628.1	XP_019917647.1	*	*	*
4	4	0.298	XP_012336264.1	XP_019915426.1	*	XP_028530756.1	XP_028862043.1
2	2	1	XP_012334001.1	*	*	*	XP_028860612.1
4	4	0.872	XP_012336143.1	XP_019915962.1	*	XP_028526792.1	XP_028862435.1
4	4	0.805	XP_012336137.1	XP_019915717.1	*	XP_028526786.1	XP_028862441.1
3	3	0.644	XP_012336046.1	XP_019913119.1	*	*	XP_028859585.1
2	2	1	XP_012336045.1	*	*	*	XP_028859584.1
4	4	0.857	XP_012336020.1	XP_019917694.1	*	XP_028529836.1	XP_028864631.1
2	2	1	XP_012334672.1	XP_019917655.1	*	*	*
2	2	1	XP_012336007.1	XP_019917689.1	*	*	*
5	5	0.887	XP_012336346.1	XP_019912834.1	XP_746191.2	XP_028530989.1	XP_028859439.1
5	5	0.877	XP_012333872.1	XP_019913387.1	XP_746211.2	XP_028526253.1	XP_028860400.1
5	5	0.842	XP_012335881.1	XP_019915212.1	XP_746209.1	XP_028525800.1	XP_028862012.1
5	5	0.571	XP_012334509.1	XP_019915630.1	XP_746202.2	XP_028526495.1	XP_028862720.1
5	5	0.777	XP_012334511.1	XP_019915559.1	XP_746201.1	XP_028526497.1	XP_028862718.1
5	5	0.809	XP_012336869.1	XP_019913066.1	XP_746199.1	XP_028528192.1	XP_028859676.1
5	5	0.853	XP_012336871.1	XP_019913257.1	XP_746198.1	XP_028528190.1	XP_028859674.1
5	5	0.824	XP_012334662.1	XP_019917653.1	XP_746195.1	XP_028529782.1	XP_028864578.1
5	5	0.765	XP_012336344.1	XP_019912886.1	XP_746192.2	XP_028530991.1	XP_028859441.1
5	5	0.705	XP_012333875.1	XP_019913596.1	XP_746213.1	XP_028526250.1	XP_028860403.1
5	5	0.823	XP_012336815.1	XP_019913809.1	XP_746184.2	XP_028530175.1	XP_028862247.1
5	5	0.942	XP_012333148.1	XP_019914934.1	XP_746167.2	XP_028529193.1	XP_028861751.1
5	5	0.896	XP_012333149.1	XP_019914890.1	XP_746166.2	XP_028529194.1	XP_028861752.1
5	5	0.588	XP_012334634.1	XP_019917681.1	XP_746163.1	XP_028529812.1	XP_028864607.1
5	5	0.834	XP_012333752.1	XP_019914394.1	XP_746161.1	XP_028528109.1	XP_028861333.1
4	4	0.538	XP_012337889.1	XP_019913142.1	XP_746155.2	XP_028527152.1	*
5	5	0.693	XP_012337888.1	XP_019913240.1	XP_746154.2	XP_028527151.1	XP_028859650.1
5	5	0.66	XP_012337105.1	XP_019916683.1	XP_746257.2	XP_028528022.1	XP_028862839.1
3	3	0.953	*	*	XP_745584.2	XP_028526269.1	XP_028860385.1
4	4	0.784	XP_031850587.1	*	YP_009272505.1	YP_009325454.1	YP_009307908.1
4	4	0.684	XP_031850586.1	*	YP_009272504.1	YP_009325453.1	YP_009307907.1
5	5	0.853	XP_012333510.1	XP_019916960.1	XP_746289.1	XP_028527724.1	XP_028863138.1
5	5	0.921	XP_012333756.1	XP_019914533.1	XP_746273.2	XP_028528104.1	XP_028861338.1
5	5	0.879	XP_012337491.1	XP_019916108.1	XP_746269.2	XP_028527974.1	XP_028862888.1
5	5	0.813	XP_012337488.1	XP_019916981.1	XP_746268.2	XP_028527971.1	XP_028862891.1
3	3	0.958	*	*	XP_745931.1	XP_028528486.1	XP_028863810.1
3	3	0.814	*	*	XP_745943.2	XP_028526142.1	XP_028860185.1
5	5	0.862	XP_012333761.1	XP_019914572.1	XP_746241.1	XP_028528099.1	XP_028861343.1
5	5	0.85	XP_012333766.1	XP_019914542.1	XP_746240.2	XP_028528095.1	XP_028861347.1
5	5	0.889	XP_012334813.1	XP_019913975.1	XP_746234.1	XP_028529479.1	XP_028860714.1
5	5	0.804	XP_012334655.1	XP_019917481.1	XP_746231.1	XP_028529790.1	XP_028864585.1
5	5	0.845	XP_012336265.1	XP_019915443.1	XP_746222.2	XP_028530757.1	XP_028862042.1
5	5	0.873	XP_012333811.1	XP_019913372.1	XP_746219.1	XP_028526314.1	XP_028860340.1
5	5	0.817	XP_012333810.1	XP_019913626.1	XP_746218.2	XP_028526315.1	XP_028860339.1
5	5	0.802	XP_012334589.1	XP_019915220.1	XP_746028.2	XP_028530651.1	XP_028859831.1
5	5	0.911	XP_012333214.1	XP_019914922.1	XP_746071.1	XP_028529259.1	XP_028861815.1
5	5	0.847	XP_012333213.1	XP_019914789.1	XP_746067.1	XP_028529258.1	XP_028861814.1
5	5	0.898	XP_012337845.1	XP_019913564.1	XP_746052.1	XP_028527351.1	XP_028860545.1
5	5	0.819	XP_012337846.1	XP_019913611.1	XP_746050.1	XP_028527350.1	XP_028860544.1
5	5	0.691	XP_012338068.1	XP_019915483.1	XP_746044.1	XP_028525859.1	XP_028861953.1
5	5	0.733	XP_012338069.1	XP_019915369.1	XP_746043.2	XP_028525858.1	XP_028861954.1
5	5	0.892	XP_012337094.1	XP_019916329.1	XP_746036.1	XP_028527881.1	XP_028862979.1
