# Species	Genes	Alg.-Conn.	GCA_000499725.1_EBH001_protein.faa	GCF_000499385.1_ENH001_protein.faa	GCF_000499425.1_EAH001_protein.faa	GCF_000499545.2_ETH001_protein.faa	GCF_000499605.1_EMW001_protein.faa
2	2	1	*	XP_013440848.1	*	XP_013234801.1	*
2	2	1	*	XP_013434245.1	*	XP_013227797.1	*
2	2	1	*	XP_013434275.1	*	XP_013234409.1	*
2	2	1	*	XP_013434238.1	*	XP_013227793.1	*
2	2	1	*	XP_013434237.1	*	XP_013227792.1	*
2	2	1	*	XP_013434236.1	*	XP_013227791.1	*
2	2	1	*	XP_013436744.1	*	XP_013234415.1	*
2	2	1	*	XP_013434233.1	*	XP_013227787.1	*
2	2	1	*	XP_013437556.1	*	XP_013234417.1	*
2	2	1	*	XP_013434071.1	*	XP_013235239.1	*
2	2	1	*	*	XP_013249561.1	XP_013232052.1	*
2	2	1	*	XP_013432965.1	*	XP_013235197.1	*
2	2	1	*	XP_013439887.1	*	XP_013235202.1	*
2	2	1	*	XP_013434315.1	*	XP_013235218.1	*
2	2	1	*	XP_013438108.1	*	XP_013235235.1	*
2	2	1	*	*	XP_013249505.1	XP_013235572.1	*
2	2	1	*	*	XP_013249469.1	XP_013228516.1	*
3	3	0.709	*	*	XP_013249459.1	XP_013232926.1	XP_013332588.1
2	2	1	*	XP_013438890.1	*	XP_013235237.1	*
2	2	1	*	XP_013441048.1	*	XP_013235194.1	*
3	3	0.716	*	*	XP_013249431.1	XP_013229133.1	XP_013336844.1
2	2	1	*	XP_013437674.1	*	XP_013235252.1	*
2	2	1	*	XP_013437391.1	*	XP_013235274.1	*
2	2	1	*	XP_013433173.1	*	XP_013235279.1	*
2	2	1	*	XP_013440302.1	*	XP_013235286.1	*
3	3	0.646	*	*	XP_013249383.1	XP_013228338.1	XP_013333860.1
2	2	1	*	*	XP_013249330.1	XP_013228501.1	*
2	2	1	*	XP_013440719.1	*	XP_013235292.1	*
2	2	1	*	XP_013437853.1	*	XP_013235306.1	*
2	2	1	*	XP_013438491.1	*	XP_013235149.1	*
2	2	1	*	*	XP_013250194.1	XP_013229422.1	*
2	2	1	*	XP_013438333.1	*	XP_013235131.1	*
2	2	1	*	XP_013436694.1	*	XP_013235132.1	*
2	2	1	*	XP_013436457.1	*	XP_013235139.1	*
2	2	1	*	XP_013434727.1	*	XP_013235143.1	*
2	2	1	*	*	XP_013250027.1	XP_013231454.1	*
2	2	1	*	XP_013433169.1	*	XP_013235146.1	*
2	2	1	*	*	XP_013250012.1	XP_013235623.1	*
3	3	0.862	*	*	XP_013249977.1	XP_013235663.1	XP_013334312.1
3	3	0.762	*	*	XP_013249307.1	XP_013235178.1	XP_013337533.1
2	2	1	*	XP_013439738.1	*	XP_013235152.1	*
3	3	0.815	*	*	XP_013249930.1	XP_013229249.1	XP_013333154.1
2	2	1	*	XP_013436410.1	*	XP_013235159.1	*
2	2	1	*	*	XP_013249877.1	XP_013234395.1	*
2	2	1	*	XP_013436412.1	*	XP_013235161.1	*
2	2	1	*	XP_013434879.1	*	XP_013235165.1	*
2	2	1	*	XP_013437216.1	*	XP_013235187.1	*
2	2	1	*	*	XP_013249590.1	XP_013232602.1	*
2	2	1	*	XP_013437597.1	*	XP_013235190.1	*
2	2	1	*	XP_013434895.1	*	XP_013235453.1	*
2	2	1	*	XP_013438848.1	*	XP_013235413.1	*
3	3	0.937	*	*	XP_013248853.1	XP_013236072.1	XP_013334526.1
3	3	0.661	*	XP_013432555.1	XP_013251664.1	XP_013228528.1	*
2	2	1	*	XP_013435849.1	*	XP_013235420.1	*
2	2	1	*	*	XP_013248775.1	XP_013235810.1	*
2	2	1	*	*	XP_013248720.1	XP_013235601.1	*
2	2	1	*	XP_013434438.1	*	XP_013235438.1	*
2	2	1	*	XP_013434961.1	*	XP_013235451.1	*
2	2	1	*	*	XP_013248686.1	XP_013229567.1	*
2	2	1	*	XP_013440728.1	*	XP_013235409.1	*
2	2	1	*	*	XP_013248677.1	XP_013235706.1	*
3	3	0.778	*	*	XP_013248676.1	XP_013229722.1	XP_013334535.1
2	2	1	*	*	XP_013248674.1	XP_013234430.1	*
2	2	1	*	XP_013432970.1	*	XP_013235458.1	*
2	2	1	*	XP_013435051.1	*	XP_013235460.1	*
2	2	1	*	XP_013437791.1	*	XP_013235468.1	*
2	2	1	*	XP_013437146.1	*	XP_013235474.1	*
2	2	1	*	XP_013437421.1	*	XP_013235482.1	*
2	2	1	*	*	XP_013248594.1	XP_013232490.1	*
2	2	1	*	XP_013437861.1	*	XP_013235352.1	*
2	2	1	*	XP_013439187.1	*	XP_013235312.1	*
2	2	1	*	*	XP_013249284.1	XP_013235798.1	*
2	2	1	*	XP_013434255.1	*	XP_013235330.1	*
2	2	1	*	XP_013438704.1	*	XP_013235333.1	*
2	2	1	*	XP_013440044.1	*	XP_013235339.1	*
2	2	1	*	XP_013435516.1	*	XP_013235341.1	*
2	2	1	*	XP_013435648.1	*	XP_013235347.1	*
2	2	1	*	*	XP_013249271.1	XP_013230156.1	*
2	2	1	*	XP_013440671.1	*	XP_013235351.1	*
2	2	1	*	XP_013439858.1	*	XP_013235118.1	*
2	2	1	*	XP_013437851.1	*	XP_013235359.1	*
3	3	0.612	*	*	XP_013249097.1	XP_013230251.1	XP_013335604.1
2	2	1	*	XP_013434856.1	*	XP_013235361.1	*
2	2	1	*	XP_013437979.1	*	XP_013235366.1	*
3	3	0.639	*	*	XP_013248959.1	XP_013233544.1	XP_013337853.1
2	2	1	*	XP_013437446.1	*	XP_013235387.1	*
2	2	1	*	XP_013436391.1	*	XP_013235392.1	*
2	2	1	*	XP_013440620.1	*	XP_013235397.1	*
2	2	1	*	XP_013436699.1	*	XP_013234892.1	*
2	2	1	*	*	XP_013251628.1	XP_013233079.1	*
2	2	1	*	*	XP_013251606.1	XP_013236281.1	*
2	2	1	*	*	XP_013251604.1	XP_013229253.1	*
2	2	1	*	XP_013437166.1	*	XP_013234883.1	*
3	3	0.312	*	*	XP_013251303.1	XP_013236144.1	XP_013333914.1
2	2	1	*	XP_013437414.1	*	XP_013234884.1	*
2	2	1	*	XP_013437413.1	*	XP_013234885.1	*
2	2	1	*	*	XP_013251180.1	XP_013232968.1	*
3	3	0.71	*	*	XP_013251126.1	XP_013231813.1	XP_013336192.1
2	2	1	*	XP_013441021.1	*	XP_013234878.1	*
2	2	1	*	*	XP_013250947.1	XP_013230916.1	*
2	2	1	*	XP_013436698.1	*	XP_013234893.1	*
2	2	1	*	XP_013436189.1	*	XP_013234897.1	*
2	2	1	*	*	XP_013250908.1	XP_013227760.1	*
3	3	0.797	*	*	XP_013250899.1	XP_013229153.1	XP_013338029.1
2	2	1	*	XP_013434918.1	*	XP_013234900.1	*
2	2	1	*	XP_013434919.1	*	XP_013234901.1	*
2	2	1	*	XP_013436367.1	*	XP_013234907.1	*
2	2	1	*	XP_013436925.1	*	XP_013234914.1	*
2	2	1	*	*	XP_013251747.1	XP_013235320.1	*
2	2	1	*	XP_013440340.1	*	XP_013234810.1	*
2	2	1	*	XP_013440339.1	*	XP_013234811.1	*
2	2	1	*	XP_013435246.1	*	XP_013234820.1	*
3	3	0.949	*	*	XP_013251824.1	XP_013231246.1	XP_013335062.1
2	2	1	*	XP_013436795.1	*	XP_013234822.1	*
2	2	1	*	*	XP_013251767.1	XP_013230573.1	*
2	2	1	*	XP_013438498.1	*	XP_013234823.1	*
2	2	1	*	*	XP_013251755.1	XP_013233401.1	*
2	2	1	*	XP_013432804.1	*	XP_013234837.1	*
3	3	0.91	*	*	XP_013250859.1	XP_013233732.1	XP_013338183.1
2	2	1	*	XP_013432805.1	*	XP_013234838.1	*
2	2	1	*	XP_013437679.1	*	XP_013234841.1	*
2	2	1	*	*	XP_013251715.1	XP_013234808.1	*
2	2	1	*	XP_013438524.1	*	XP_013234844.1	*
2	2	1	*	*	XP_013251686.1	XP_013235379.1	*
2	2	1	*	XP_013438526.1	*	XP_013234846.1	*
2	2	1	*	XP_013438750.1	*	XP_013234850.1	*
2	2	1	*	XP_013432619.1	*	XP_013234862.1	*
2	2	1	*	XP_013437687.1	*	XP_013234864.1	*
2	2	1	*	XP_013436112.1	*	XP_013235056.1	*
2	2	1	*	XP_013436390.1	*	XP_013235017.1	*
2	2	1	*	XP_013438723.1	*	XP_013235027.1	*
2	2	1	*	*	XP_013250477.1	XP_013230495.1	*
2	2	1	*	*	XP_013250469.1	XP_013234108.1	*
2	2	1	*	*	XP_013250365.1	XP_013234456.1	*
3	3	0.861	*	*	XP_013250345.1	XP_013228705.1	XP_013334350.1
2	2	1	*	XP_013437633.1	*	XP_013235030.1	*
2	2	1	*	XP_013436567.1	*	XP_013235034.1	*
2	2	1	*	XP_013435986.1	*	XP_013235044.1	*
3	3	0.902	*	*	XP_013250511.1	XP_013231951.1	XP_013334059.1
2	2	1	*	XP_013439006.1	*	XP_013235064.1	*
2	2	1	*	XP_013438891.1	*	XP_013235068.1	*
2	2	1	*	XP_013434886.1	*	XP_013235070.1	*
2	2	1	*	XP_013439831.1	*	XP_013235094.1	*
2	2	1	*	*	XP_013250330.1	XP_013231739.1	*
2	2	1	*	XP_013437228.1	*	XP_013235108.1	*
2	2	1	*	XP_013435047.1	*	XP_013235115.1	*
2	2	1	*	XP_013439859.1	*	XP_013235117.1	*
2	2	1	*	*	XP_013250279.1	XP_013228334.1	*
2	2	1	*	XP_013440640.1	*	XP_013234940.1	*
2	2	1	*	XP_013433535.1	*	XP_013234920.1	*
2	2	1	*	XP_013434500.1	*	XP_013234921.1	*
2	2	1	*	XP_013440440.1	*	XP_013234929.1	*
2	2	1	*	XP_013438243.1	*	XP_013234933.1	*
2	2	1	*	*	XP_013250735.1	XP_013234813.1	*
2	2	1	*	*	XP_013250713.1	XP_013231761.1	*
2	2	1	*	XP_013439280.1	*	XP_013234936.1	*
2	2	1	*	XP_013438752.1	*	XP_013234939.1	*
3	3	0.821	*	*	XP_013250708.1	XP_013229736.1	XP_013335319.1
2	2	1	*	*	XP_013248590.1	XP_013234408.1	*
2	2	1	*	XP_013433003.1	*	XP_013234943.1	*
2	2	1	*	XP_013437634.1	*	XP_013234958.1	*
2	2	1	*	XP_013436531.1	*	XP_013234982.1	*
2	2	1	*	XP_013440301.1	*	XP_013234995.1	*
3	3	0.692	*	*	XP_013250648.1	XP_013232271.1	XP_013336923.1
2	2	1	*	XP_013438417.1	*	XP_013234999.1	*
2	2	1	*	XP_013440209.1	*	XP_013235000.1	*
2	2	1	*	*	XP_013250523.1	XP_013228291.1	*
2	2	1	*	*	XP_013247571.1	*	XP_013336651.1
2	2	1	*	*	XP_013250964.1	*	XP_013336531.1
2	2	1	*	*	XP_013252295.1	*	XP_013336561.1
2	2	1	*	*	XP_013250204.1	*	XP_013336565.1
2	2	1	*	XP_013434208.1	XP_013246854.1	*	*
3	3	0.805	*	XP_013439175.1	XP_013246845.1	XP_013230425.1	*
2	2	1	*	*	XP_013252268.1	*	XP_013336585.1
2	2	1	*	*	XP_013251555.1	*	XP_013336597.1
2	2	1	*	XP_013435652.1	XP_013246832.1	*	*
2	2	1	*	*	XP_013252907.1	*	XP_013336638.1
3	3	0.827	*	XP_013432872.1	XP_013246808.1	XP_013229121.1	*
2	2	1	*	*	XP_013247818.1	*	XP_013336514.1
3	3	0.586	*	XP_013433355.1	XP_013246753.1	XP_013229337.1	*
2	2	1	*	*	XP_013247110.1	*	XP_013336660.1
2	2	1	*	*	XP_013251196.1	*	XP_013336674.1
2	2	1	*	*	XP_013248432.1	*	XP_013336683.1
2	2	1	*	XP_013437243.1	XP_013246744.1	*	*
2	2	1	*	XP_013437580.1	XP_013246743.1	*	*
2	2	1	*	*	XP_013247644.1	*	XP_013336702.1
2	2	1	*	*	XP_013253290.1	*	XP_013336772.1
3	3	0.777	*	XP_013432875.1	XP_013246710.1	XP_013230782.1	*
3	3	0.655	*	XP_013438093.1	XP_013246906.1	XP_013228864.1	*
2	2	1	*	*	XP_013249301.1	*	XP_013336471.1
2	2	1	*	*	XP_013250067.1	*	XP_013336475.1
3	3	0.288	*	XP_013433007.1	XP_013247019.1	XP_013228600.1	*
2	2	1	*	*	XP_013252643.1	*	XP_013336499.1
3	3	0.545	*	XP_013437160.1	XP_013247003.1	XP_013228480.1	*
3	3	0.715	*	XP_013440632.1	XP_013246992.1	XP_013230298.1	*
3	3	0.766	*	XP_013436642.1	XP_013246976.1	XP_013233816.1	*
3	3	0.811	*	XP_013434287.1	XP_013246952.1	XP_013231521.1	*
3	3	0.802	*	XP_013434286.1	XP_013246951.1	XP_013231522.1	*
2	2	1	*	*	XP_013247790.1	*	XP_013336787.1
3	3	0.677	*	XP_013433670.1	XP_013246900.1	XP_013228450.1	*
3	3	0.755	*	XP_013434101.1	XP_013246899.1	XP_013228499.1	*
3	3	0.696	*	XP_013432980.1	XP_013246893.1	XP_013235492.1	*
3	3	0.941	*	XP_013432979.1	XP_013246892.1	XP_013235493.1	*
2	2	1	*	XP_013434365.1	XP_013246887.1	*	*
3	3	0.816	*	XP_013440513.1	XP_013246878.1	XP_013232048.1	*
2	2	1	*	*	XP_013248253.1	*	XP_013336506.1
2	2	1	*	XP_013434646.1	XP_013246876.1	*	*
3	3	0.689	*	XP_013432515.1	XP_013246861.1	XP_013228917.1	*
2	2	1	*	*	XP_013247740.1	*	XP_013337009.1
3	3	0.774	*	XP_013434056.1	XP_013246499.1	XP_013232553.1	*
2	2	1	*	*	XP_013248136.1	*	XP_013336935.1
2	2	1	*	*	XP_013246950.1	*	XP_013336965.1
4	4	0.618	*	XP_013438356.1	XP_013246702.1	XP_013228252.1	XP_013338608.1
4	4	0.448	*	XP_013440581.1	XP_013247166.1	XP_013229007.1	XP_013338602.1
2	2	1	*	XP_013440300.1	*	*	XP_013338595.1
4	4	0.668	*	XP_013440260.1	XP_013252774.1	XP_013232716.1	XP_013338590.1
2	2	1	*	*	XP_013250981.1	*	XP_013337001.1
3	3	0.573	*	XP_013432699.1	*	XP_013227848.1	XP_013338585.1
3	3	0.149	*	XP_013439677.1	XP_013246510.1	XP_013228711.1	*
4	4	0.855	*	XP_013432955.1	XP_013251609.1	XP_013228839.1	XP_013338567.1
3	3	0.536	*	XP_013433362.1	*	XP_013234872.1	XP_013338560.1
2	2	1	*	*	XP_013248583.1	*	XP_013337020.1
3	3	0.829	*	XP_013433274.1	XP_013247798.1	*	XP_013338553.1
2	2	1	*	*	XP_013248920.1	*	XP_013337037.1
3	3	0.852	*	XP_013438528.1	XP_013252920.1	*	XP_013338551.1
2	2	1	*	*	XP_013247432.1	*	XP_013337043.1
2	2	1	*	*	XP_013252075.1	*	XP_013337086.1
4	4	0.538	*	XP_013438454.1	XP_013251001.1	XP_013231829.1	XP_013338516.1
2	2	1	*	*	XP_013250298.1	*	XP_013336829.1
2	2	1	*	*	XP_013246755.1	*	XP_013336788.1
2	2	1	*	*	XP_013251091.1	*	XP_013336796.1
2	2	1	*	XP_013438919.1	XP_013246693.1	*	*
2	2	1	*	*	XP_013253106.1	*	XP_013336820.1
2	2	1	*	*	XP_013253046.1	*	XP_013336823.1
3	3	0.261	*	XP_013433429.1	XP_013246671.1	XP_013232093.1	*
3	3	0.773	*	XP_013433714.1	XP_013246666.1	XP_013228673.1	*
3	3	0.422	*	XP_013433990.1	XP_013246663.1	XP_013227898.1	*
3	3	0.768	*	XP_013435759.1	XP_013246659.1	XP_013228475.1	*
3	3	0.881	*	XP_013438655.1	XP_013247026.1	XP_013232527.1	*
2	2	1	*	XP_013433122.1	XP_013246621.1	*	*
2	2	1	*	*	XP_013246560.1	*	XP_013336846.1
3	3	0.923	*	XP_013436007.1	XP_013246580.1	XP_013235669.1	*
3	3	0.649	*	XP_013432559.1	XP_013246566.1	XP_013228523.1	*
3	3	0.114	*	XP_013435336.1	XP_013246562.1	XP_013230164.1	*
3	3	0.283	*	XP_013434551.1	XP_013246556.1	XP_013232180.1	*
3	3	0.182	*	XP_013434350.1	XP_013246533.1	XP_013228819.1	*
3	3	0.478	*	XP_013437503.1	XP_013246512.1	XP_013235055.1	*
2	2	1	*	*	XP_013251856.1	*	XP_013336860.1
2	2	1	*	*	XP_013248714.1	*	XP_013335878.1
2	2	1	*	*	XP_013249419.1	*	XP_013335709.1
2	2	1	*	*	XP_013250405.1	*	XP_013335818.1
2	2	1	*	XP_013438983.1	XP_013248108.1	*	*
2	2	1	*	*	XP_013252830.1	*	XP_013335838.1
3	3	0.474	*	XP_013439313.1	XP_013248049.1	XP_013231014.1	*
3	3	0.832	*	XP_013432758.1	XP_013248024.1	XP_013230676.1	*
3	3	0.186	*	XP_013432595.1	XP_013248018.1	XP_013232822.1	*
3	3	0.772	*	XP_013439441.1	XP_013247998.1	XP_013235854.1	*
2	2	1	*	*	XP_013250164.1	*	XP_013335867.1
3	3	0.849	*	XP_013440230.1	XP_013248153.1	XP_013233728.1	*
3	3	0.786	*	XP_013439836.1	XP_013247990.1	XP_013229457.1	*
2	2	1	*	XP_013439834.1	XP_013247989.1	*	*
2	2	1	*	XP_013434860.1	XP_013247901.1	*	*
3	3	0.72	*	XP_013437333.1	XP_013247872.1	XP_013236143.1	*
3	3	0.336	*	XP_013432962.1	XP_013247826.1	XP_013234129.1	*
2	2	1	*	*	XP_013248715.1	*	XP_013335879.1
3	3	0.779	*	XP_013437606.1	XP_013247825.1	XP_013234130.1	*
2	2	1	*	*	XP_013248036.1	*	XP_013335917.1
2	2	1	*	*	XP_013247999.1	*	XP_013335927.1
2	2	1	*	XP_013440378.1	XP_013248291.1	*	*
2	2	1	*	XP_013435271.1	XP_013248404.1	*	*
2	2	1	*	XP_013432716.1	XP_013248389.1	*	*
2	2	1	*	*	XP_013251906.1	*	XP_013335578.1
3	3	0.967	*	XP_013435323.1	XP_013248347.1	XP_013229827.1	*
2	2	1	*	*	XP_013252473.1	*	XP_013335583.1
2	2	1	*	*	XP_013249761.1	*	XP_013335632.1
2	2	1	*	XP_013433959.1	XP_013248325.1	*	*
2	2	1	*	*	XP_013248391.1	*	XP_013335639.1
2	2	1	*	*	XP_013247115.1	*	XP_013335646.1
2	2	1	*	XP_013435895.1	XP_013247817.1	*	*
3	3	0.805	*	XP_013432572.1	XP_013248283.1	XP_013232365.1	*
2	2	1	*	*	XP_013247804.1	*	XP_013335651.1
2	2	1	*	XP_013440147.1	XP_013248254.1	*	*
2	2	1	*	*	XP_013252565.1	*	XP_013335653.1
2	2	1	*	*	XP_013249227.1	*	XP_013335661.1
3	3	0.475	*	XP_013436514.1	XP_013248240.1	XP_013227806.1	*
3	3	0.681	*	XP_013434598.1	XP_013248200.1	XP_013234349.1	*
2	2	1	*	*	XP_013249287.1	*	XP_013335663.1
2	2	1	*	*	XP_013251277.1	*	XP_013335668.1
2	2	1	*	XP_013436768.1	XP_013247172.1	*	*
3	3	0.765	*	XP_013436193.1	XP_013247326.1	XP_013236140.1	*
2	2	1	*	*	XP_013248789.1	*	XP_013336148.1
3	3	0.473	*	XP_013437106.1	XP_013247284.1	XP_013228996.1	*
2	2	1	*	*	XP_013248410.1	*	XP_013336200.1
3	3	0.431	*	XP_013441026.1	XP_013247276.1	XP_013233886.1	*
2	2	1	*	*	XP_013250079.1	*	XP_013336215.1
2	2	1	*	*	XP_013249716.1	*	XP_013336413.1
3	3	0.705	*	XP_013433660.1	XP_013247242.1	XP_013232963.1	*
3	3	0.671	*	XP_013437517.1	XP_013247208.1	XP_013233802.1	*
2	2	1	*	*	XP_013251291.1	*	XP_013336092.1
2	2	1	*	XP_013439267.1	XP_013247155.1	*	*
2	2	1	*	XP_013439118.1	XP_013247147.1	*	*
2	2	1	*	XP_013436413.1	XP_013247145.1	*	*
2	2	1	*	*	XP_013247535.1	*	XP_013336452.1
2	2	1	*	XP_013438809.1	XP_013247127.1	*	*
3	3	0.746	*	XP_013438808.1	XP_013247126.1	XP_013227896.1	*
2	2	1	*	*	XP_013250084.1	*	XP_013336469.1
3	3	0.614	*	XP_013433662.1	XP_013247096.1	XP_013228284.1	*
3	3	0.851	*	XP_013434186.1	XP_013247069.1	XP_013234078.1	*
3	3	0.618	*	XP_013435374.1	XP_013247549.1	XP_013233105.1	*
2	2	1	*	*	XP_013251020.1	*	XP_013335961.1
3	3	0.444	*	XP_013433432.1	XP_013247778.1	XP_013229650.1	*
2	2	1	*	*	XP_013251357.1	*	XP_013336003.1
2	2	1	*	*	XP_013248724.1	*	XP_013336004.1
2	2	1	*	*	XP_013247163.1	*	XP_013336018.1
3	3	0.813	*	XP_013433438.1	XP_013247664.1	XP_013229655.1	*
3	3	0.393	*	XP_013439651.1	XP_013247621.1	XP_013228724.1	*
3	3	0.452	*	XP_013433908.1	XP_013247585.1	XP_013229490.1	*
2	2	1	*	*	XP_013250222.1	*	XP_013336030.1
2	2	1	*	XP_013433299.1	*	*	XP_013338508.1
3	3	0.382	*	XP_013438603.1	XP_013247542.1	XP_013235323.1	*
2	2	1	*	XP_013440622.1	XP_013247517.1	*	*
3	3	0.958	*	XP_013436886.1	XP_013247510.1	XP_013229774.1	*
3	3	0.556	*	XP_013432774.1	XP_013247423.1	XP_013230692.1	*
3	3	0.542	*	XP_013432773.1	XP_013247422.1	XP_013230691.1	*
3	3	0.719	*	XP_013437969.1	XP_013247399.1	XP_013228125.1	*
2	2	1	*	*	XP_013248445.1	*	XP_013336035.1
2	2	1	*	*	XP_013250398.1	*	XP_013336036.1
2	2	1	*	*	XP_013247793.1	*	XP_013336066.1
4	4	0.34	*	XP_013440931.1	XP_013253171.1	XP_013228559.1	XP_013337656.1
4	4	0.422	*	XP_013434050.1	XP_013250742.1	XP_013228621.1	XP_013337719.1
2	2	1	*	XP_013433062.1	*	*	XP_013337709.1
3	3	0.402	*	XP_013433072.1	*	XP_013234198.1	XP_013337701.1
4	4	0.52	*	XP_013439701.1	XP_013250102.1	XP_013232978.1	XP_013337689.1
2	2	1	*	*	XP_013247545.1	*	XP_013338095.1
4	4	0.632	*	XP_013434967.1	XP_013252633.1	XP_013228405.1	XP_013337678.1
2	2	1	*	*	XP_013251394.1	*	XP_013338109.1
4	4	0.414	*	XP_013440932.1	XP_013253170.1	XP_013228560.1	XP_013337657.1
2	2	1	*	*	XP_013248649.1	*	XP_013338113.1
2	2	1	*	*	XP_013252743.1	*	XP_013338053.1
2	2	1	*	*	XP_013252685.1	*	XP_013338122.1
4	4	0.618	*	XP_013432798.1	XP_013251633.1	XP_013233075.1	XP_013337639.1
2	2	1	*	*	XP_013248360.1	*	XP_013338133.1
2	2	1	*	*	XP_013246863.1	*	XP_013338187.1
4	4	0.86	*	XP_013436712.1	XP_013248744.1	XP_013233787.1	XP_013337628.1
4	4	0.848	*	XP_013438721.1	XP_013253063.1	XP_013231019.1	XP_013337597.1
4	4	0.221	*	XP_013434221.1	XP_013252389.1	XP_013227776.1	XP_013337587.1
3	3	0.889	*	XP_013434832.1	XP_013248418.1	*	XP_013337577.1
4	4	0.346	*	XP_013437439.1	XP_013252463.1	XP_013231470.1	XP_013337569.1
2	2	1	*	*	XP_013250738.1	*	XP_013337923.1
4	4	0.101	*	XP_013435011.1	XP_013248801.1	XP_013230095.1	XP_013337903.1
4	4	0.866	*	XP_013437869.1	XP_013249821.1	XP_013236254.1	XP_013337893.1
4	4	0.609	*	XP_013438719.1	XP_013253061.1	XP_013231021.1	XP_013337884.1
2	2	1	*	*	XP_013247007.1	*	XP_013337866.1
3	3	0.52	*	XP_013434762.1	*	XP_013232022.1	XP_013337867.1
3	3	0.509	*	XP_013437957.1	XP_013253156.1	*	XP_013337856.1
3	3	0.61	*	XP_013435195.1	*	XP_013233260.1	XP_013337837.1
2	2	1	*	*	XP_013249816.1	*	XP_013337888.1
4	4	0.672	*	XP_013440376.1	XP_013248289.1	XP_013233608.1	XP_013337821.1
4	4	0.845	*	XP_013437440.1	XP_013248795.1	XP_013231469.1	XP_013337568.1
4	4	0.532	*	XP_013440375.1	XP_013248284.1	XP_013233607.1	XP_013337817.1
3	3	0.231	*	XP_013440369.1	*	XP_013233600.1	XP_013337816.1
4	4	0.699	*	XP_013435004.1	XP_013248808.1	XP_013230088.1	XP_013337801.1
2	2	1	*	*	XP_013250820.1	*	XP_013337963.1
4	4	0.785	*	XP_013435010.1	XP_013248802.1	XP_013230094.1	XP_013337796.1
4	4	0.767	*	XP_013434668.1	XP_013252007.1	XP_013228636.1	XP_013337782.1
2	2	1	*	*	XP_013250424.1	*	XP_013337969.1
4	4	0.423	*	XP_013433820.1	XP_013247270.1	XP_013233303.1	XP_013337744.1
2	2	1	*	*	XP_013250897.1	*	XP_013338031.1
3	3	0.515	*	XP_013439806.1	*	XP_013231318.1	XP_013337381.1
3	3	0.479	*	XP_013433775.1	*	XP_013232243.1	XP_013337426.1
2	2	1	*	*	XP_013250817.1	*	XP_013338470.1
4	4	0.649	*	XP_013433779.1	XP_013250822.1	XP_013232239.1	XP_013337423.1
2	2	1	*	*	XP_013250054.1	*	XP_013338479.1
4	4	0.342	*	XP_013440422.1	XP_013246586.1	XP_013233139.1	XP_013337419.1
3	3	0.554	*	XP_013433764.1	*	XP_013232254.1	XP_013337410.1
2	2	1	*	*	XP_013251005.1	*	XP_013338512.1
2	2	1	*	*	XP_013249122.1	*	XP_013338572.1
3	3	0.692	*	XP_013440411.1	*	XP_013233127.1	XP_013337393.1
3	3	0.789	*	XP_013435677.1	*	XP_013232599.1	XP_013337428.1
4	4	0.716	*	XP_013435363.1	XP_013252966.1	XP_013234990.1	XP_013337374.1
4	4	0.311	*	XP_013436207.1	XP_013250024.1	XP_013235765.1	XP_013337355.1
3	3	0.633	*	XP_013439426.1	*	XP_013233381.1	XP_013337347.1
4	4	0.641	CDJ50293.1	XP_013436919.1	XP_013248227.1	XP_013227758.1	*
4	4	0.517	*	XP_013438828.1	XP_013248566.1	XP_013232487.1	XP_013337327.1
3	3	0.667	*	XP_013434327.1	*	XP_013234912.1	XP_013337321.1
3	3	0.681	*	XP_013437652.1	*	XP_013233191.1	XP_013337316.1
2	2	1	*	*	XP_013249103.1	*	XP_013338605.1
3	3	0.777	*	XP_013439131.1	*	XP_013231604.1	XP_013337308.1
3	3	0.616	*	XP_013440889.1	*	XP_013229751.1	XP_013337510.1
4	4	0.845	*	XP_013437441.1	XP_013248657.1	XP_013231468.1	XP_013337567.1
4	4	0.442	*	XP_013440494.1	XP_013246837.1	XP_013232652.1	XP_013337564.1
4	4	0.896	*	XP_013438871.1	XP_013251497.1	XP_013232222.1	XP_013337560.1
2	2	1	*	*	XP_013250847.1	*	XP_013338193.1
2	2	1	*	*	XP_013247490.1	*	XP_013338197.1
3	3	0.784	*	XP_013440621.1	XP_013246687.1	*	XP_013337553.1
2	2	1	*	*	XP_013252522.1	*	XP_013338210.1
3	3	0.138	*	XP_013438448.1	*	XP_013231836.1	XP_013337530.1
4	4	0.723	*	XP_013435935.1	XP_013247077.1	XP_013236092.1	XP_013337517.1
2	2	1	*	*	XP_013251038.1	*	XP_013337813.1
2	2	1	*	*	XP_013252361.1	*	XP_013338259.1
3	3	0.88	*	XP_013434682.1	XP_013250362.1	*	XP_013337502.1
3	3	0.444	*	XP_013437025.1	*	XP_013229084.1	XP_013337486.1
3	3	0.946	*	XP_013433784.1	*	XP_013232234.1	XP_013337485.1
2	2	1	*	*	XP_013250507.1	*	XP_013338331.1
4	4	0.632	*	XP_013434674.1	XP_013252003.1	XP_013228642.1	XP_013337476.1
2	2	1	*	*	XP_013247071.1	*	XP_013338378.1
2	2	1	*	*	XP_013250248.1	*	XP_013338444.1
2	2	1	*	*	XP_013252131.1	*	XP_013338455.1
3	3	0.212	*	XP_013436736.1	*	XP_013233762.1	XP_013338239.1
2	2	1	*	*	XP_013253102.1	*	XP_013337337.1
2	2	1	*	*	XP_013250861.1	*	XP_013337358.1
