# Species	Genes	Alg.-Conn.	GCF_000208865.1_ASM20886v2_protein.faa	GCF_001601855.1_ASM160185v1_protein.faa	GCF_002563875.1_Bbes1.0_protein.faa	GCF_900002375.2_GCA_900002375_protein.faa	GCF_900005765.1_PRELSG_protein.faa
2	2	1	XP_003884992.1	*	XP_029217975.1	*	*
2	2	1	XP_003885103.1	*	XP_029218107.1	*	*
2	2	1	XP_003884963.1	*	XP_029217918.1	*	*
2	2	1	XP_003884962.1	*	XP_029217919.1	*	*
2	2	1	XP_003884960.1	*	XP_029217921.1	*	*
2	2	1	XP_003884958.1	*	XP_029217923.1	*	*
2	2	1	XP_003884957.1	*	XP_029217925.1	*	*
2	2	1	XP_003884956.1	*	XP_029217926.1	*	*
2	2	1	XP_003884953.1	*	XP_029217930.1	*	*
2	2	1	XP_003884952.1	*	XP_029217931.1	*	*
2	2	1	XP_003884951.1	*	XP_029217932.1	*	*
2	2	1	XP_003884950.1	*	XP_029217933.1	*	*
2	2	1	XP_003884947.1	*	XP_029217940.1	*	*
2	2	1	XP_003884946.1	*	XP_029217941.1	*	*
2	2	1	XP_003884945.1	*	XP_029217942.1	*	*
2	2	1	XP_003884944.1	*	XP_029217944.1	*	*
2	2	1	XP_003884942.1	*	XP_029217948.1	*	*
2	2	1	XP_003885239.1	*	XP_029218258.1	*	*
2	2	1	XP_003885229.1	*	XP_029218248.1	*	*
2	2	1	XP_003885230.1	*	XP_029218249.1	*	*
2	2	1	XP_003885231.1	*	XP_029218250.1	*	*
2	2	1	XP_003885232.1	*	XP_029218252.1	*	*
2	2	1	XP_003885233.1	*	XP_029218253.1	*	*
2	2	1	XP_003885235.1	*	XP_029218254.1	*	*
2	2	1	XP_003885236.1	*	XP_029218255.1	*	*
2	2	1	XP_003885237.1	*	XP_029218256.1	*	*
2	2	1	XP_003885228.1	*	XP_029218247.1	*	*
2	2	1	XP_003885241.1	*	XP_029218260.1	*	*
2	2	1	XP_003885242.1	*	XP_029218261.1	*	*
2	2	1	XP_003885243.1	*	XP_029218262.1	*	*
2	2	1	XP_003885246.1	*	XP_029218265.1	*	*
2	2	1	XP_003885247.1	*	XP_029218266.1	*	*
2	2	1	XP_003885249.1	*	XP_029218268.1	*	*
2	2	1	XP_003885251.1	*	XP_029218270.1	*	*
2	2	1	XP_003885257.1	*	XP_029218276.1	*	*
2	2	1	XP_003885227.1	*	XP_029218246.1	*	*
2	2	1	XP_003885226.1	*	XP_029218245.1	*	*
2	2	1	XP_003885225.1	*	XP_029218244.1	*	*
2	2	1	XP_003885222.1	*	XP_029218242.1	*	*
2	2	1	XP_003885220.1	*	XP_029218240.1	*	*
2	2	1	XP_003885219.1	*	XP_029218239.1	*	*
2	2	1	XP_003885216.1	*	XP_029218232.1	*	*
2	2	1	XP_003885215.1	*	XP_029218231.1	*	*
2	2	1	XP_003885214.1	*	XP_029218229.1	*	*
2	2	1	XP_003885213.1	*	XP_029218228.1	*	*
2	2	1	XP_003885212.1	*	XP_029218227.1	*	*
2	2	1	XP_003885211.1	*	XP_029218226.1	*	*
2	2	1	XP_003885208.1	*	XP_029218223.1	*	*
2	2	1	XP_003885207.1	*	XP_029218222.1	*	*
2	2	1	XP_003885206.1	*	XP_029218221.1	*	*
2	2	1	XP_003885301.1	*	XP_029218324.1	*	*
2	2	1	XP_003885283.1	*	XP_029218306.1	*	*
2	2	1	XP_003885285.1	*	XP_029218308.1	*	*
2	2	1	XP_003885289.1	*	XP_029218312.1	*	*
2	2	1	XP_003885291.1	*	XP_029218313.1	*	*
2	2	1	XP_003885292.1	*	XP_029218314.1	*	*
2	2	1	XP_003885295.1	*	XP_029218319.1	*	*
2	2	1	XP_003885298.1	*	XP_029218321.1	*	*
2	2	1	XP_003885300.1	*	XP_029218323.1	*	*
2	2	1	XP_003885282.1	*	XP_029218305.1	*	*
2	2	1	XP_003885302.1	*	XP_029218325.1	*	*
2	2	1	XP_003885303.1	*	XP_029218327.1	*	*
2	2	1	XP_003885304.1	*	XP_029218328.1	*	*
2	2	1	XP_003885305.1	*	XP_029218329.1	*	*
2	2	1	XP_003885306.1	*	XP_029218331.1	*	*
2	2	1	XP_003885307.1	*	XP_029218332.1	*	*
2	2	1	XP_003885308.1	*	XP_029218333.1	*	*
2	2	1	XP_003885205.1	*	XP_029218212.1	*	*
2	2	1	XP_003885281.1	*	XP_029218304.1	*	*
2	2	1	XP_003885279.1	*	XP_029218302.1	*	*
2	2	1	XP_003885278.1	*	XP_029218301.1	*	*
2	2	1	XP_003885276.1	*	XP_029218299.1	*	*
2	2	1	XP_003885275.1	*	XP_029218298.1	*	*
2	2	1	XP_003885270.1	*	XP_029218292.1	*	*
2	2	1	XP_003885269.1	*	XP_029218291.1	*	*
2	2	1	XP_003885268.1	*	XP_029218290.1	*	*
2	2	1	XP_003885267.1	*	XP_029218289.1	*	*
2	2	1	XP_003885266.1	*	XP_029218288.1	*	*
2	2	1	XP_003885264.1	*	XP_029218285.1	*	*
2	2	1	XP_003885263.1	*	XP_029218284.1	*	*
2	2	1	XP_003885262.1	*	XP_029218283.1	*	*
2	2	1	XP_003885261.1	*	XP_029218282.1	*	*
2	2	1	XP_003885258.1	*	XP_029218278.1	*	*
2	2	1	XP_003885140.1	*	XP_029218150.1	*	*
2	2	1	XP_003885125.1	*	XP_029218136.1	*	*
2	2	1	XP_003885127.1	*	XP_029218138.1	*	*
2	2	1	XP_003885130.1	*	XP_029218141.1	*	*
2	2	1	XP_003885131.1	*	XP_029218142.1	*	*
2	2	1	XP_003885132.1	*	XP_029218143.1	*	*
2	2	1	XP_003885133.1	*	XP_029218144.1	*	*
2	2	1	XP_003885138.1	*	XP_029218147.1	*	*
2	2	1	XP_003885139.1	*	XP_029218148.1	*	*
2	2	1	XP_003885123.1	*	XP_029218134.1	*	*
2	2	1	XP_003885144.1	*	XP_029218152.1	*	*
2	2	1	XP_003885145.1	*	XP_029218153.1	*	*
2	2	1	XP_003885146.1	*	XP_029218154.1	*	*
2	2	1	XP_003885148.1	*	XP_029218155.1	*	*
2	2	1	XP_003885150.1	*	XP_029218158.1	*	*
2	2	1	XP_003885151.1	*	XP_029218159.1	*	*
2	2	1	XP_003885153.1	*	XP_029218161.1	*	*
2	2	1	XP_003885154.1	*	XP_029218162.1	*	*
2	2	1	XP_003885121.1	*	XP_029218129.1	*	*
2	2	1	XP_003885119.1	*	XP_029218126.1	*	*
2	2	1	XP_003885118.1	*	XP_029218124.1	*	*
2	2	1	XP_003885117.1	*	XP_029218123.1	*	*
2	2	1	XP_003885116.1	*	XP_029218122.1	*	*
2	2	1	XP_003885115.1	*	XP_029218121.1	*	*
2	2	1	XP_003885114.1	*	XP_029218119.1	*	*
2	2	1	XP_003885113.1	*	XP_029218118.1	*	*
2	2	1	XP_003885111.1	*	XP_029218117.1	*	*
2	2	1	XP_003885109.1	*	XP_029218114.1	*	*
2	2	1	XP_003885108.1	*	XP_029218112.1	*	*
2	2	1	XP_003885107.1	*	XP_029218111.1	*	*
2	2	1	XP_003885106.1	*	XP_029218110.1	*	*
2	2	1	XP_003885105.1	*	XP_029218109.1	*	*
2	2	1	XP_003885104.1	*	XP_029218108.1	*	*
2	2	1	XP_003885194.1	*	XP_029218211.1	*	*
2	2	1	XP_003885178.1	*	XP_029218184.1	*	*
2	2	1	XP_003885179.1	*	XP_029218187.1	*	*
2	2	1	XP_003885180.1	*	XP_029218188.1	*	*
2	2	1	XP_003885181.1	*	XP_029218189.1	*	*
2	2	1	XP_003885182.1	*	XP_029218191.1	*	*
2	2	1	XP_003885187.1	*	XP_029218202.1	*	*
2	2	1	XP_003885190.1	*	XP_029218206.1	*	*
2	2	1	XP_003885192.1	*	XP_029218209.1	*	*
2	2	1	XP_003885176.1	*	XP_029218183.1	*	*
2	2	1	XP_003885195.1	*	XP_029218203.1	*	*
2	2	1	XP_003885196.1	*	XP_029218204.1	*	*
2	2	1	XP_003885197.1	*	XP_029218220.1	*	*
2	2	1	XP_003885201.1	*	XP_029218216.1	*	*
2	2	1	XP_003885202.1	*	XP_029218215.1	*	*
2	2	1	XP_003885203.1	*	XP_029218214.1	*	*
2	2	1	XP_003885204.1	*	XP_029218213.1	*	*
2	2	1	XP_003884882.1	*	XP_029220917.1	*	*
2	2	1	XP_003885175.1	*	XP_029218182.1	*	*
2	2	1	XP_003885173.1	*	XP_029218180.1	*	*
2	2	1	XP_003885171.1	*	XP_029218177.1	*	*
2	2	1	XP_003885170.1	*	XP_029218176.1	*	*
2	2	1	XP_003885169.1	*	XP_029218175.1	*	*
2	2	1	XP_003885168.1	*	XP_029218174.1	*	*
2	2	1	XP_003885166.1	*	XP_029218171.1	*	*
2	2	1	XP_003885164.1	*	XP_029218170.1	*	*
2	2	1	XP_003885163.1	*	XP_029218169.1	*	*
2	2	1	XP_003885162.1	*	XP_029218168.1	*	*
2	2	1	XP_003885161.1	*	XP_029218167.1	*	*
2	2	1	XP_003885160.1	*	XP_029218166.1	*	*
2	2	1	XP_003885159.1	*	XP_029218165.1	*	*
2	2	1	XP_003885158.1	*	XP_029218164.1	*	*
2	2	1	XP_003885155.1	*	XP_029218163.1	*	*
2	2	1	XP_003884571.1	*	XP_029219790.1	*	*
2	2	1	XP_003884556.1	*	XP_029219826.1	*	*
2	2	1	XP_003884557.1	*	XP_029219825.1	*	*
2	2	1	XP_003884559.1	*	XP_029219822.1	*	*
2	2	1	XP_003884560.1	*	XP_029219821.1	*	*
2	2	1	XP_003884566.1	*	XP_029219796.1	*	*
2	2	1	XP_003884567.1	*	XP_029219794.1	*	*
2	2	1	XP_003884568.1	*	XP_029219793.1	*	*
2	2	1	XP_003884569.1	*	XP_029219792.1	*	*
2	2	1	XP_003884555.1	*	XP_029219827.1	*	*
2	2	1	XP_003884573.1	*	XP_029219787.1	*	*
2	2	1	XP_003884574.1	*	XP_029219785.1	*	*
2	2	1	XP_003884575.1	*	XP_029219783.1	*	*
2	2	1	XP_003884577.1	*	XP_029219781.1	*	*
2	2	1	XP_003884580.1	*	XP_029219778.1	*	*
2	2	1	XP_003884581.1	*	XP_029219777.1	*	*
2	2	1	XP_003884583.1	*	XP_029219775.1	*	*
2	2	1	XP_003884584.1	*	XP_029219774.1	*	*
2	2	1	XP_003884554.1	*	XP_029219828.1	*	*
2	2	1	XP_003884553.1	*	XP_029219829.1	*	*
2	2	1	XP_003884552.1	*	XP_029219830.1	*	*
2	2	1	XP_003884550.1	*	XP_029219832.1	*	*
2	2	1	XP_003884549.1	*	XP_029219834.1	*	*
2	2	1	XP_003884548.1	*	XP_029219835.1	*	*
2	2	1	XP_003884547.1	*	XP_029219836.1	*	*
2	2	1	XP_003884546.1	*	XP_029219837.1	*	*
2	2	1	XP_003884545.1	*	XP_029219838.1	*	*
2	2	1	XP_003884544.1	*	XP_029219840.1	*	*
2	2	1	XP_003884540.1	*	XP_029219844.1	*	*
2	2	1	XP_003884538.1	*	XP_029219847.1	*	*
2	2	1	XP_003884535.1	*	XP_029219850.1	*	*
2	2	1	XP_003884533.1	*	XP_029219852.1	*	*
2	2	1	XP_003884530.1	*	XP_029219854.1	*	*
2	2	1	XP_003884634.1	*	XP_029221250.1	*	*
2	2	1	XP_003884612.1	*	XP_029221268.1	*	*
2	2	1	XP_003884614.1	*	XP_029221266.1	*	*
2	2	1	XP_003884616.1	*	XP_029221264.1	*	*
2	2	1	XP_003884621.1	*	XP_029221259.1	*	*
2	2	1	XP_003884622.1	*	XP_029221258.1	*	*
2	2	1	XP_003884623.1	*	XP_029221257.1	*	*
2	2	1	XP_003884624.1	*	XP_029221256.1	*	*
2	2	1	XP_003884625.1	*	XP_029221255.1	*	*
2	2	1	XP_003884611.1	*	XP_029221269.1	*	*
2	2	1	XP_003884635.1	*	XP_029221249.1	*	*
2	2	1	XP_003884636.1	*	XP_029221248.1	*	*
2	2	1	XP_003884638.1	*	XP_029221247.1	*	*
2	2	1	XP_003884642.1	*	XP_029221242.1	*	*
2	2	1	XP_003884644.1	*	XP_029221240.1	*	*
2	2	1	XP_003884646.1	*	XP_029221238.1	*	*
2	2	1	XP_003884647.1	*	XP_029221237.1	*	*
2	2	1	XP_003884529.1	*	XP_029219855.1	*	*
2	2	1	XP_003884608.1	*	XP_029221271.1	*	*
2	2	1	XP_003884607.1	*	XP_029221272.1	*	*
2	2	1	XP_003884606.1	*	XP_029221273.1	*	*
2	2	1	XP_003884604.1	*	XP_029221275.1	*	*
2	2	1	XP_003884603.1	*	XP_029221276.1	*	*
2	2	1	XP_003884601.1	*	XP_029221278.1	*	*
2	2	1	XP_003884600.1	*	XP_029221279.1	*	*
2	2	1	XP_003884598.1	*	XP_029219760.1	*	*
2	2	1	XP_003884597.1	*	XP_029219761.1	*	*
2	2	1	XP_003884594.1	*	XP_029219764.1	*	*
2	2	1	XP_003884593.1	*	XP_029219765.1	*	*
2	2	1	XP_003884592.1	*	XP_029219766.1	*	*
2	2	1	XP_003884589.1	*	XP_029219769.1	*	*
2	2	1	XP_003884588.1	*	XP_029219770.1	*	*
2	2	1	XP_003884585.1	*	XP_029219773.1	*	*
2	2	1	XP_003884469.1	*	XP_029217725.1	*	*
2	2	1	XP_003884459.1	*	XP_029217736.1	*	*
2	2	1	XP_003884460.1	*	XP_029217735.1	*	*
2	2	1	XP_003884462.1	*	XP_029217733.1	*	*
2	2	1	XP_003884463.1	*	XP_029217731.1	*	*
2	2	1	XP_003884465.1	*	XP_029217729.1	*	*
2	2	1	XP_003884466.1	*	XP_029217728.1	*	*
2	2	1	XP_003884467.1	*	XP_029217727.1	*	*
2	2	1	XP_003884468.1	*	XP_029217726.1	*	*
2	2	1	XP_003884458.1	*	XP_029217737.1	*	*
2	2	1	XP_003884470.1	*	XP_029219928.1	*	*
2	2	1	XP_003884471.1	*	XP_029219927.1	*	*
2	2	1	XP_003884472.1	*	XP_029219926.1	*	*
2	2	1	XP_003884473.1	*	XP_029219925.1	*	*
2	2	1	XP_003884474.1	*	XP_029219924.1	*	*
2	2	1	XP_003884475.1	*	XP_029219923.1	*	*
2	2	1	XP_003884476.1	*	XP_029219922.1	*	*
2	2	1	XP_003884477.1	*	XP_029219921.1	*	*
2	2	1	XP_003884457.1	*	XP_029217738.1	*	*
2	2	1	XP_003884454.1	*	XP_029217741.1	*	*
2	2	1	XP_003884453.1	*	XP_029217742.1	*	*
2	2	1	XP_003884452.1	*	XP_029217743.1	*	*
2	2	1	XP_003884451.1	*	XP_029217744.1	*	*
2	2	1	XP_003884450.1	*	XP_029217745.1	*	*
2	2	1	XP_003884449.1	*	XP_029217746.1	*	*
2	2	1	XP_003884448.1	*	XP_029217748.1	*	*
2	2	1	XP_003884447.1	*	XP_029217749.1	*	*
2	2	1	XP_003884446.1	*	XP_029217750.1	*	*
2	2	1	XP_003884445.1	*	XP_029217751.1	*	*
2	2	1	XP_003884442.1	*	XP_029217754.1	*	*
2	2	1	XP_003884440.1	*	XP_029217756.1	*	*
2	2	1	XP_003884439.1	*	XP_029217757.1	*	*
2	2	1	XP_003883960.1	*	XP_029219607.1	*	*
2	2	1	XP_003884518.1	*	XP_029219870.1	*	*
2	2	1	XP_003884499.1	*	XP_029219895.1	*	*
2	2	1	XP_003884500.1	*	XP_029219892.1	*	*
2	2	1	XP_003884501.1	*	XP_029219891.1	*	*
2	2	1	XP_003884503.1	*	XP_029219886.1	*	*
2	2	1	XP_003884507.1	*	XP_029219882.1	*	*
2	2	1	XP_003884508.1	*	XP_029219881.1	*	*
2	2	1	XP_003884513.1	*	XP_029219876.1	*	*
2	2	1	XP_003884517.1	*	XP_029219871.1	*	*
2	2	1	XP_003884498.1	*	XP_029219896.1	*	*
2	2	1	XP_003884520.1	*	XP_029219867.1	*	*
2	2	1	XP_003884522.1	*	XP_029219865.1	*	*
2	2	1	XP_003884523.1	*	XP_029219864.1	*	*
2	2	1	XP_003884524.1	*	XP_029219860.1	*	*
2	2	1	XP_003884526.1	*	XP_029219858.1	*	*
2	2	1	XP_003884527.1	*	XP_029219857.1	*	*
2	2	1	XP_003884528.1	*	XP_029219856.1	*	*
2	2	1	XP_003884648.1	*	XP_029221235.1	*	*
2	2	1	XP_003884496.1	*	XP_029219898.1	*	*
2	2	1	XP_003884494.1	*	XP_029219900.1	*	*
2	2	1	XP_003884493.1	*	XP_029219901.1	*	*
2	2	1	XP_003884492.1	*	XP_029219902.1	*	*
2	2	1	XP_003884491.1	*	XP_029219903.1	*	*
2	2	1	XP_003884490.1	*	XP_029219905.1	*	*
2	2	1	XP_003884488.1	*	XP_029219907.1	*	*
2	2	1	XP_003884487.1	*	XP_029219909.1	*	*
2	2	1	XP_003884486.1	*	XP_029219910.1	*	*
2	2	1	XP_003884485.1	*	XP_029219911.1	*	*
2	2	1	XP_003884484.1	*	XP_029219912.1	*	*
2	2	1	XP_003884482.1	*	XP_029219916.1	*	*
2	2	1	XP_003884480.1	*	XP_029219918.1	*	*
2	2	1	XP_003884479.1	*	XP_029219919.1	*	*
2	2	1	XP_003884478.1	*	XP_029219920.1	*	*
2	2	1	XP_003884799.1	*	XP_029221073.1	*	*
2	2	1	XP_003884788.1	*	XP_029221083.1	*	*
2	2	1	XP_003884789.1	*	XP_029221082.1	*	*
2	2	1	XP_003884790.1	*	XP_029221081.1	*	*
2	2	1	XP_003884791.1	*	XP_029221080.1	*	*
2	2	1	XP_003884793.1	*	XP_029221078.1	*	*
2	2	1	XP_003884794.1	*	XP_029221077.1	*	*
2	2	1	XP_003884796.1	*	XP_029221076.1	*	*
2	2	1	XP_003884797.1	*	XP_029221075.1	*	*
2	2	1	XP_003884787.1	*	XP_029221084.1	*	*
2	2	1	XP_003884800.1	*	XP_029221072.1	*	*
2	2	1	XP_003884801.1	*	XP_029221071.1	*	*
2	2	1	XP_003884803.1	*	XP_029221069.1	*	*
2	2	1	XP_003884804.1	*	XP_029221067.1	*	*
2	2	1	XP_003884805.1	*	XP_029221066.1	*	*
2	2	1	XP_003884807.1	*	XP_029221064.1	*	*
2	2	1	XP_003884808.1	*	XP_029221062.1	*	*
2	2	1	XP_003884811.1	*	XP_029221038.1	*	*
2	2	1	XP_003884783.1	*	XP_029221088.1	*	*
2	2	1	XP_003884782.1	*	XP_029221089.1	*	*
2	2	1	XP_003884781.1	*	XP_029221090.1	*	*
2	2	1	XP_003884780.1	*	XP_029221092.1	*	*
2	2	1	XP_003884778.1	*	XP_029221094.1	*	*
2	2	1	XP_003884777.1	*	XP_029221095.1	*	*
2	2	1	XP_003884775.1	*	XP_029221097.1	*	*
2	2	1	XP_003884774.1	*	XP_029221098.1	*	*
2	2	1	XP_003884773.1	*	XP_029221099.1	*	*
2	2	1	XP_003884772.1	*	XP_029221100.1	*	*
2	2	1	XP_003884769.1	*	XP_029221103.1	*	*
2	2	1	XP_003884768.1	*	XP_029221104.1	*	*
2	2	1	XP_003884766.1	*	XP_029221106.1	*	*
2	2	1	XP_003884763.1	*	XP_029221110.1	*	*
2	2	1	XP_003884762.1	*	XP_029221112.1	*	*
2	2	1	XP_003884859.1	*	XP_029220976.1	*	*
2	2	1	XP_003884846.1	*	XP_029220996.1	*	*
2	2	1	XP_003884847.1	*	XP_029220995.1	*	*
2	2	1	XP_003884849.1	*	XP_029220994.1	*	*
2	2	1	XP_003884851.1	*	XP_029220992.1	*	*
2	2	1	XP_003884854.1	*	XP_029220988.1	*	*
2	2	1	XP_003884855.1	*	XP_029220987.1	*	*
2	2	1	XP_003884856.1	*	XP_029220985.1	*	*
2	2	1	XP_003884857.1	*	XP_029220984.1	*	*
2	2	1	XP_003884845.1	*	XP_029220997.1	*	*
2	2	1	XP_003884860.1	*	XP_029220975.1	*	*
2	2	1	XP_003884861.1	*	XP_029220974.1	*	*
2	2	1	XP_003884862.1	*	XP_029220973.1	*	*
2	2	1	XP_003884864.1	*	XP_029220958.1	*	*
2	2	1	XP_003884874.1	*	XP_029220931.1	*	*
2	2	1	XP_003884880.1	*	XP_029220921.1	*	*
2	2	1	XP_003884881.1	*	XP_029220919.1	*	*
2	2	1	XP_003884759.1	*	XP_029221115.1	*	*
2	2	1	XP_003884844.1	*	XP_029220999.1	*	*
2	2	1	XP_003884842.1	*	XP_029221001.1	*	*
2	2	1	XP_003884839.1	*	XP_029221004.1	*	*
2	2	1	XP_003884838.1	*	XP_029221005.1	*	*
2	2	1	XP_003884835.1	*	XP_029221008.1	*	*
2	2	1	XP_003884834.1	*	XP_029221009.1	*	*
2	2	1	XP_003884832.1	*	XP_029221012.1	*	*
2	2	1	XP_003884831.1	*	XP_029221013.1	*	*
2	2	1	XP_003884830.1	*	XP_029221014.1	*	*
2	2	1	XP_003884828.1	*	XP_029221017.1	*	*
2	2	1	XP_003884819.1	*	XP_029221029.1	*	*
2	2	1	XP_003884817.1	*	XP_029221031.1	*	*
2	2	1	XP_003884816.1	*	XP_029221032.1	*	*
2	2	1	XP_003884815.1	*	XP_029221033.1	*	*
2	2	1	XP_003884813.1	*	XP_029221035.1	*	*
2	2	1	XP_003884696.1	*	XP_029221185.1	*	*
2	2	1	XP_003884680.1	*	XP_029221201.1	*	*
2	2	1	XP_003884685.1	*	XP_029221198.1	*	*
2	2	1	XP_003884686.1	*	XP_029221197.1	*	*
2	2	1	XP_003884687.1	*	XP_029221196.1	*	*
2	2	1	XP_003884688.1	*	XP_029221195.1	*	*
2	2	1	XP_003884692.1	*	XP_029221190.1	*	*
2	2	1	XP_003884694.1	*	XP_029221188.1	*	*
2	2	1	XP_003884695.1	*	XP_029221186.1	*	*
2	2	1	XP_003884679.1	*	XP_029221202.1	*	*
2	2	1	XP_003884698.1	*	XP_029221183.1	*	*
2	2	1	XP_003884699.1	*	XP_029221181.1	*	*
2	2	1	XP_003884700.1	*	XP_029221180.1	*	*
2	2	1	XP_003884701.1	*	XP_029221179.1	*	*
2	2	1	XP_003884705.1	*	XP_029221175.1	*	*
2	2	1	XP_003884706.1	*	XP_029221174.1	*	*
2	2	1	XP_003884707.1	*	XP_029221173.1	*	*
2	2	1	XP_003884708.1	*	XP_029221172.1	*	*
2	2	1	XP_003884678.1	*	XP_029221203.1	*	*
2	2	1	XP_003884675.1	*	XP_029221206.1	*	*
2	2	1	XP_003884673.1	*	XP_029221208.1	*	*
2	2	1	XP_003884671.1	*	XP_029221211.1	*	*
2	2	1	XP_003884669.1	*	XP_029221213.1	*	*
2	2	1	XP_003884667.1	*	XP_029221215.1	*	*
2	2	1	XP_003884663.1	*	XP_029221219.1	*	*
2	2	1	XP_003884661.1	*	XP_029221221.1	*	*
2	2	1	XP_003884660.1	*	XP_029221222.1	*	*
2	2	1	XP_003884655.1	*	XP_029221228.1	*	*
2	2	1	XP_003884654.1	*	XP_029221229.1	*	*
2	2	1	XP_003884653.1	*	XP_029221230.1	*	*
2	2	1	XP_003884652.1	*	XP_029221231.1	*	*
2	2	1	XP_003884651.1	*	XP_029221232.1	*	*
2	2	1	XP_003884650.1	*	XP_029221233.1	*	*
2	2	1	XP_003884732.1	*	XP_029221147.1	*	*
2	2	1	XP_003884758.1	*	XP_029221118.1	*	*
2	2	1	XP_003884757.1	*	XP_029221119.1	*	*
2	2	1	XP_003884753.1	*	XP_029221123.1	*	*
2	2	1	XP_003884751.1	*	XP_029221126.1	*	*
2	2	1	XP_003884750.1	*	XP_029221128.1	*	*
2	2	1	XP_003884749.1	*	XP_029221129.1	*	*
2	2	1	XP_003884747.1	*	XP_029221131.1	*	*
2	2	1	XP_003884746.1	*	XP_029221132.1	*	*
2	2	1	XP_003884745.1	*	XP_029221133.1	*	*
2	2	1	XP_003884742.1	*	XP_029221136.1	*	*
2	2	1	XP_003884740.1	*	XP_029221138.1	*	*
2	2	1	XP_003884739.1	*	XP_029221139.1	*	*
2	2	1	XP_003884738.1	*	XP_029221140.1	*	*
2	2	1	XP_003884736.1	*	XP_029221142.1	*	*
2	2	1	XP_003884735.1	*	XP_029221144.1	*	*
2	2	1	XP_003885309.1	*	XP_029218334.1	*	*
2	2	1	XP_003884731.1	*	XP_029221148.1	*	*
2	2	1	XP_003884730.1	*	XP_029221149.1	*	*
2	2	1	XP_003884729.1	*	XP_029221150.1	*	*
2	2	1	XP_003884728.1	*	XP_029221151.1	*	*
2	2	1	XP_003884727.1	*	XP_029221152.1	*	*
2	2	1	XP_003884726.1	*	XP_029221153.1	*	*
2	2	1	XP_003884725.1	*	XP_029221154.1	*	*
2	2	1	XP_003884722.1	*	XP_029221156.1	*	*
2	2	1	XP_003884720.1	*	XP_029221158.1	*	*
2	2	1	XP_003884719.1	*	XP_029221160.1	*	*
2	2	1	XP_003884718.1	*	XP_029221161.1	*	*
2	2	1	XP_003884717.1	*	XP_029221162.1	*	*
2	2	1	XP_003884711.1	*	XP_029221169.1	*	*
2	2	1	XP_003884710.1	*	XP_029221170.1	*	*
2	2	1	XP_003884709.1	*	XP_029221171.1	*	*
2	2	1	XP_003885917.1	*	XP_029222327.1	*	*
2	2	1	XP_003885907.1	*	XP_029222337.1	*	*
2	2	1	XP_003885908.1	*	XP_029222336.1	*	*
2	2	1	XP_003885910.1	*	XP_029222335.1	*	*
2	2	1	XP_003885911.1	*	XP_029222334.1	*	*
2	2	1	XP_003885913.1	*	XP_029222332.1	*	*
2	2	1	XP_003885914.1	*	XP_029222331.1	*	*
2	2	1	XP_003885915.1	*	XP_029222330.1	*	*
2	2	1	XP_003885916.1	*	XP_029222329.1	*	*
2	2	1	XP_003885906.1	*	XP_029222338.1	*	*
2	2	1	XP_003885918.1	*	XP_029222326.1	*	*
2	2	1	XP_003885919.1	*	XP_029222325.1	*	*
2	2	1	XP_003885920.1	*	XP_029222323.1	*	*
2	2	1	XP_003885921.1	*	XP_029222322.1	*	*
2	2	1	XP_003885922.1	*	XP_029222321.1	*	*
2	2	1	XP_003885923.1	*	XP_029222320.1	*	*
2	2	1	XP_003885925.1	*	XP_029222317.1	*	*
2	2	1	XP_003885926.1	*	XP_029222316.1	*	*
2	2	1	XP_003885905.1	*	XP_029222339.1	*	*
2	2	1	XP_003885904.1	*	XP_029222340.1	*	*
2	2	1	XP_003885901.1	*	XP_029222342.1	*	*
2	2	1	XP_003885900.1	*	XP_029222343.1	*	*
2	2	1	XP_003885898.1	*	XP_029222344.1	*	*
2	2	1	XP_003885897.1	*	XP_029222345.1	*	*
2	2	1	XP_003885893.1	*	XP_029222349.1	*	*
2	2	1	XP_003885892.1	*	XP_029222350.1	*	*
2	2	1	XP_003885891.1	*	XP_029222351.1	*	*
2	2	1	XP_003885888.1	*	XP_029222354.1	*	*
2	2	1	XP_003885887.1	*	XP_029222355.1	*	*
2	2	1	XP_003885886.1	*	XP_029222356.1	*	*
2	2	1	XP_003885885.1	*	XP_029222357.1	*	*
2	2	1	XP_003885884.1	*	XP_029222358.1	*	*
2	2	1	XP_003885883.1	*	XP_029222359.1	*	*
2	2	1	XP_003885965.1	*	XP_029222276.1	*	*
2	2	1	XP_003885956.1	*	XP_029222285.1	*	*
2	2	1	XP_003885957.1	*	XP_029222284.1	*	*
2	2	1	XP_003885958.1	*	XP_029222283.1	*	*
2	2	1	XP_003885960.1	*	XP_029222281.1	*	*
2	2	1	XP_003885961.1	*	XP_029222280.1	*	*
2	2	1	XP_003885962.1	*	XP_029222279.1	*	*
2	2	1	XP_003885963.1	*	XP_029222278.1	*	*
2	2	1	XP_003885964.1	*	XP_029222277.1	*	*
2	2	1	XP_003885955.1	*	XP_029222286.1	*	*
2	2	1	XP_003885966.1	*	XP_029222274.1	*	*
2	2	1	XP_003885967.1	*	XP_029222272.1	*	*
2	2	1	XP_003885968.1	*	XP_029222271.1	*	*
2	2	1	XP_003885969.1	*	XP_029222269.1	*	*
2	2	1	XP_003885970.1	*	XP_029222267.1	*	*
2	2	1	XP_003885971.1	*	XP_029222266.1	*	*
2	2	1	XP_003885972.1	*	XP_029222265.1	*	*
